Deuteronomy 1:9	And I spake unto you at that time, saying, I am not able to bear you myself alone:
Deuteronomy 1:10	The LORD your God hath multiplied you, and, behold, ye are this day as the stars of heaven for multitude.
Deuteronomy 1:11	(The LORD God of your fathers make you a thousand times so many more as ye are, and bless you, as he hath promised you!)
Deuteronomy 1:12	How can I myself alone bear your cumbrance, and your burden, and your strife?
Deuteronomy 1:13	Take you wise men, and understanding, and known among your tribes, and I will make them rulers over you.
Deuteronomy 1:14	And ye answered me, and said, The thing which thou hast spoken is good for us to do.
Deuteronomy 1:15	So I took the chief of your tribes, wise men, and known, and made them heads over you, captains over thousands, and captains over hundreds, and captains over fifties, and captains over tens, and officers among your tribes.
Deuteronomy 1:16	And I charged your judges at that time, saying, Hear the causes between your brethren, and judge righteously between every man and his brother, and the stranger that is with him.
Deuteronomy 1:17	Ye shall not respect persons in judgment; but ye shall hear the small as well as the great; ye shall not be afraid of the face of man; for the judgment is God's: and the cause that is too hard for you, bring it unto me, and I will hear it.
Deuteronomy 1:18	And I commanded you at that time all the things which ye should do.
Deuteronomy 1:19	And when we departed from Horeb, we went through all that great and terrible wilderness, which ye saw by the way of the mountain of the Amorites, as the LORD our God commanded us; and we came to Kadeshbarnea.
Deuteronomy 1:20	And I said unto you, Ye are come unto the mountain of the Amorites, which the LORD our God doth give unto us.
Deuteronomy 1:21	Behold, the LORD thy God hath set the land before thee: go up and possess it, as the LORD God of thy fathers hath said unto thee; fear not, neither be discouraged.
Deuteronomy 1:22	And ye came near unto me every one of you, and said, We will send men before us, and they shall search us out the land, and bring us word again by what way we must go up, and into what cities we shall come.
Deuteronomy 1:23	And the saying pleased me well: and I took twelve men of you, one of a tribe:
Deuteronomy 1:24	And they turned and went up into the mountain, and came unto the valley of Eshcol, and searched it out.
Deuteronomy 1:25	And they took of the fruit of the land in their hands, and brought it down unto us, and brought us word again, and said, It is a good land which the LORD our God doth give us.
Deuteronomy 1:26	Notwithstanding ye would not go up, but rebelled against the commandment of the LORD your God:
Deuteronomy 1:27	And ye murmured in your tents, and said, Because the LORD hated us, he hath brought us forth out of the land of Egypt, to deliver us into the hand of the Amorites, to destroy us.
Deuteronomy 1:28	Whither shall we go up? our brethren have discouraged our heart, saying, The people is greater and taller than we; the cities are great and walled up to heaven; and moreover we have seen the sons of the Anakims there.
Deuteronomy 1:29	Then I said unto you, Dread not, neither be afraid of them.
Deuteronomy 1:30	The LORD your God which goeth before you, he shall fight for you, according to all that he did for you in Egypt before your eyes;
