Genesis 8:18	And Noah went forth, and his sons, and his wife, and his sons' wives with him:
Genesis 8:19	Every beast, every creeping thing, and every fowl, and whatsoever creepeth upon the earth, after their kinds, went forth out of the ark.
Genesis 8:20	And Noah builded an altar unto the LORD; and took of every clean beast, and of every clean fowl, and offered burnt offerings on the altar.
Genesis 8:21	And the LORD smelled a sweet savor; and the LORD said in his heart, I will not again curse the ground any more for man's sake; for the imagination of man's heart is evil from his youth; neither will I again smite any more every thing living, as I have done.
Genesis 8:22	While the earth remaineth, seedtime and harvest, and cold and heat, and summer and winter, and day and night shall not cease.
Genesis 9:1	And God blessed Noah and his sons, and said unto them, Be fruitful, and multiply, and replenish the earth.
Genesis 9:2	And the fear of you and the dread of you shall be upon every beast of the earth, and upon every fowl of the air, upon all that moveth upon the earth, and upon all the fishes of the sea; into your hand are they delivered.
Genesis 9:3	Every moving thing that liveth shall be meat for you; even as the green herb have I given you all things.
Genesis 9:4	But flesh with the life thereof, which is the blood thereof, shall ye not eat.
Genesis 9:5	And surely your blood of your lives will I require; at the hand of every beast will I require it, and at the hand of man; at the hand of every man's brother will I require the life of man.
Genesis 9:6	Whoso sheddeth man's blood, by man shall his blood be shed: for in the image of God made he man.
Genesis 9:7	And you, be ye fruitful, and multiply; bring forth abundantly in the earth, and multiply therein.
Genesis 9:8	And God spake unto Noah, and to his sons with him, saying,
Genesis 9:9	And I, behold, I establish my covenant with you, and with your seed after you;
Genesis 9:10	And with every living creature that is with you, of the fowl, of the cattle, and of every beast of the earth with you; from all that go out of the ark, to every beast of the earth.
Genesis 9:11	And I will establish my covenant with you, neither shall all flesh be cut off any more by the waters of a flood; neither shall there any more be a flood to destroy the earth.
Genesis 9:12	And God said, This is the token of the covenant which I make between me and you and every living creature that is with you, for perpetual generations:
Genesis 9:13	I do set my bow in the cloud, and it shall be for a token of a covenant between me and the earth.
Genesis 9:14	And it shall come to pass, when I bring a cloud over the earth, that the bow shall be seen in the cloud:
Genesis 9:15	And I will remember my covenant, which is between me and you and every living creature of all flesh; and the waters shall no more become a flood to destroy all flesh.
Genesis 9:16	And the bow shall be in the cloud; and I will look upon it, that I may remember the everlasting covenant between God and every living creature of all flesh that is upon the earth.
Genesis 9:17	And God said unto Noah, This is the token of the covenant, which I have established between me and all flesh that is upon the earth.
Genesis 9:18	And the sons of Noah, that went forth of the ark, were Shem, and Ham, and Japheth: and Ham is the father of Canaan.
Genesis 9:19	These are the three sons of Noah: and of them was the whole earth overspread.
Genesis 9:20	And Noah began to be an husbandman, and he planted a vineyard:
Genesis 9:21	And he drank of the wine, and was drunken; and he was uncovered within his tent.
Genesis 9:22	And Ham, the father of Canaan, saw the nakedness of his father, and told his two brethren without.
Genesis 9:23	And Shem and Japheth took a garment, and laid it upon both their shoulders, and went backward, and covered the nakedness of their father; and their faces were backward, and they saw not their father's nakedness.
Genesis 9:24	And Noah awoke from his wine, and knew what his younger son had done unto him.
Genesis 9:25	And he said, Cursed be Canaan; a servant of servants shall he be unto his brethren.
Genesis 9:26	And he said, Blessed be the LORD God of Shem; and Canaan shall be his servant.
Genesis 9:27	God shall enlarge Japheth, and he shall dwell in the tents of Shem; and Canaan shall be his servant.
Genesis 9:28	And Noah lived after the flood three hundred and fifty years.
Genesis 9:29	And all the days of Noah were nine hundred and fifty years: and he died.
Genesis 10:1	Now these are the generations of the sons of Noah, Shem, Ham, and Japheth: and unto them were sons born after the flood.
Genesis 10:2	The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras.
Genesis 10:3	And the sons of Gomer; Ashkenaz, and Riphath, and Togarmah.
Genesis 10:4	And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim.
Genesis 10:5	By these were the isles of the Gentiles divided in their lands; every one after his tongue, after their families, in their nations.
Genesis 10:6	And the sons of Ham; Cush, and Mizraim, and Phut, and Canaan.
Genesis 10:7	And the sons of Cush; Seba, and Havilah, and Sabtah, and Raamah, and Sabtechah: and the sons of Raamah; Sheba, and Dedan.
Genesis 10:8	And Cush begat Nimrod: he began to be a mighty one in the earth.
Genesis 10:9	He was a mighty hunter before the LORD: wherefore it is said, Even as Nimrod the mighty hunter before the LORD.
Genesis 10:10	And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.
Genesis 10:11	Out of that land went forth Asshur, and builded Nineveh, and the city Rehoboth, and Calah,
Genesis 10:12	And Resen between Nineveh and Calah: the same is a great city.
Genesis 10:13	And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,
Genesis 10:14	And Pathrusim, and Casluhim, (out of whom came Philistim,) and Caphtorim.
Genesis 10:15	And Canaan begat Sidon his first born, and Heth,
Genesis 10:16	And the Jebusite, and the Amorite, and the Girgasite,
