Jeremiah 4:24	I beheld the mountains, and, lo, they trembled, and all the hills moved lightly.
Jeremiah 4:25	I beheld, and, lo, there was no man, and all the birds of the heavens were fled.
Jeremiah 4:26	I beheld, and, lo, the fruitful place was a wilderness, and all the cities thereof were broken down at the presence of the LORD, and by his fierce anger.
Jeremiah 4:27	For thus hath the LORD said, The whole land shall be desolate; yet will I not make a full end.
Jeremiah 4:28	For this shall the earth mourn, and the heavens above be black; because I have spoken it, I have purposed it, and will not repent, neither will I turn back from it.
Jeremiah 4:29	The whole city shall flee for the noise of the horsemen and bowmen; they shall go into thickets, and climb up upon the rocks: every city shall be forsaken, and not a man dwell therein.
Jeremiah 4:30	And when thou art spoiled, what wilt thou do? Though thou clothest thyself with crimson, though thou deckest thee with ornaments of gold, though thou rentest thy face with painting, in vain shalt thou make thyself fair; thy lovers will despise thee, they will seek thy life.
Jeremiah 4:31	For I have heard a voice as of a woman in travail, and the anguish as of her that bringeth forth her first child, the voice of the daughter of Zion, that bewaileth herself, that spreadeth her hands, saying, Woe is me now! for my soul is wearied because of murderers.
Jeremiah 5:1	Run ye to and fro through the streets of Jerusalem, and see now, and know, and seek in the broad places thereof, if ye can find a man, if there be any that executeth judgment, that seeketh the truth; and I will pardon it.
Jeremiah 5:2	And though they say, The LORD liveth; surely they swear falsely.
Jeremiah 5:3	O LORD, are not thine eyes upon the truth? thou hast stricken them, but they have not grieved; thou hast consumed them, but they have refused to receive correction: they have made their faces harder than a rock; they have refused to return.
Jeremiah 5:4	Therefore I said, Surely these are poor; they are foolish: for they know not the way of the LORD, nor the judgment of their God.
Jeremiah 5:5	I will get me unto the great men, and will speak unto them; for they have known the way of the LORD, and the judgment of their God: but these have altogether broken the yoke, and burst the bonds.
Jeremiah 5:6	Wherefore a lion out of the forest shall slay them, and a wolf of the evenings shall spoil them, a leopard shall watch over their cities: every one that goeth out thence shall be torn in pieces: because their transgressions are many, and their backslidings are increased.
Jeremiah 5:7	How shall I pardon thee for this? thy children have forsaken me, and sworn by them that are no gods: when I had fed them to the full, they then committed adultery, and assembled themselves by troops in the harlots' houses.
Jeremiah 5:8	They were as fed horses in the morning: every one neighed after his neighbour's wife.
Jeremiah 5:9	Shall I not visit for these things? saith the LORD: and shall not my soul be avenged on such a nation as this?
Jeremiah 5:10	Go ye up upon her walls, and destroy; but make not a full end: take away her battlements; for they are not the LORD's.
Jeremiah 5:11	For the house of Israel and the house of Judah have dealt very treacherously against me, saith the LORD.
Jeremiah 5:12	They have belied the LORD, and said, It is not he; neither shall evil come upon us; neither shall we see sword nor famine:
Jeremiah 5:13	And the prophets shall become wind, and the word is not in them: thus shall it be done unto them.
Jeremiah 5:14	Wherefore thus saith the LORD God of hosts, Because ye speak this word, behold, I will make my words in thy mouth fire, and this people wood, and it shall devour them.
Jeremiah 5:15	Lo, I will bring a nation upon you from far, O house of Israel, saith the LORD: it is a mighty nation, it is an ancient nation, a nation whose language thou knowest not, neither understandest what they say.
Jeremiah 5:16	Their quiver is as an open sepulchre, they are all mighty men.
Jeremiah 5:17	And they shall eat up thine harvest, and thy bread, which thy sons and thy daughters should eat: they shall eat up thy flocks and thine herds: they shall eat up thy vines and thy fig trees: they shall impoverish thy fenced cities, wherein thou trustedst, with the sword.
Jeremiah 5:18	Nevertheless in those days, saith the LORD, I will not make a full end with you.
Jeremiah 5:19	And it shall come to pass, when ye shall say, Wherefore doeth the LORD our God all these things unto us? then shalt thou answer them, Like as ye have forsaken me, and served strange gods in your land, so shall ye serve strangers in a land that is not your's.
Jeremiah 5:20	Declare this in the house of Jacob, and publish it in Judah, saying,
Jeremiah 5:21	Hear now this, O foolish people, and without understanding; which have eyes, and see not; which have ears, and hear not:
Jeremiah 5:22	Fear ye not me? saith the LORD: will ye not tremble at my presence, which have placed the sand for the bound of the sea by a perpetual decree, that it cannot pass it: and though the waves thereof toss themselves, yet can they not prevail; though they roar, yet can they not pass over it?
Jeremiah 5:23	But this people hath a revolting and a rebellious heart; they are revolted and gone.
Jeremiah 5:24	Neither say they in their heart, Let us now fear the LORD our God, that giveth rain, both the former and the latter, in his season: he reserveth unto us the appointed weeks of the harvest.
Jeremiah 5:25	Your iniquities have turned away these things, and your sins have withholden good things from you.
Jeremiah 5:26	For among my people are found wicked men: they lay wait, as he that setteth snares; they set a trap, they catch men.
Jeremiah 5:27	As a cage is full of birds, so are their houses full of deceit: therefore they are become great, and waxen rich.
Jeremiah 5:28	They are waxen fat, they shine: yea, they overpass the deeds of the wicked: they judge not the cause, the cause of the fatherless, yet they prosper; and the right of the needy do they not judge.
Jeremiah 5:29	Shall I not visit for these things? saith the LORD: shall not my soul be avenged on such a nation as this?
Jeremiah 5:30	A wonderful and horrible thing is committed in the land;
Jeremiah 5:31	The prophets prophesy falsely, and the priests bear rule by their means; and my people love to have it so: and what will ye do in the end thereof?
Jeremiah 6:1	O ye children of Benjamin, gather yourselves to flee out of the midst of Jerusalem, and blow the trumpet in Tekoa, and set up a sign of fire in Bethhaccerem: for evil appeareth out of the north, and great destruction.
Jeremiah 6:2	I have likened the daughter of Zion to a comely and delicate woman.
Jeremiah 6:3	The shepherds with their flocks shall come unto her; they shall pitch their tents against her round about; they shall feed every one in his place.
Jeremiah 6:4	Prepare ye war against her; arise, and let us go up at noon. Woe unto us! for the day goeth away, for the shadows of the evening are stretched out.
Jeremiah 6:5	Arise, and let us go by night, and let us destroy her palaces.
Jeremiah 6:6	For thus hath the LORD of hosts said, Hew ye down trees, and cast a mount against Jerusalem: this is the city to be visited; she is wholly oppression in the midst of her.
Jeremiah 6:7	As a fountain casteth out her waters, so she casteth out her wickedness: violence and spoil is heard in her; before me continually is grief and wounds.
Jeremiah 6:8	Be thou instructed, O Jerusalem, lest my soul depart from thee; lest I make thee desolate, a land not inhabited.
Jeremiah 6:9	Thus saith the LORD of hosts, They shall throughly glean the remnant of Israel as a vine: turn back thine hand as a grapegatherer into the baskets.
Jeremiah 6:10	To whom shall I speak, and give warning, that they may hear? behold, their ear is uncircumcised, and they cannot hearken: behold, the word of the LORD is unto them a reproach; they have no delight in it.
Jeremiah 6:11	Therefore I am full of the fury of the LORD; I am weary with holding in: I will pour it out upon the children abroad, and upon the assembly of young men together: for even the husband with the wife shall be taken, the aged with him that is full of days.
