Zechariah 9:2	And Hamath also shall border thereby; Tyrus, and Zidon, though it be very wise.
Zechariah 9:3	And Tyrus did build herself a strong hold, and heaped up silver as the dust, and fine gold as the mire of the streets.
Zechariah 9:4	Behold, the LORD will cast her out, and he will smite her power in the sea; and she shall be devoured with fire.
Zechariah 9:5	Ashkelon shall see it, and fear; Gaza also shall see it, and be very sorrowful, and Ekron; for her expectation shall be ashamed; and the king shall perish from Gaza, and Ashkelon shall not be inhabited.
Zechariah 9:6	And a bastard shall dwell in Ashdod, and I will cut off the pride of the Philistines.
Zechariah 9:7	And I will take away his blood out of his mouth, and his abominations from between his teeth: but he that remaineth, even he, shall be for our God, and he shall be as a governor in Judah, and Ekron as a Jebusite.
Zechariah 9:8	And I will encamp about mine house because of the army, because of him that passeth by, and because of him that returneth: and no oppressor shall pass through them any more: for now have I seen with mine eyes.
Zechariah 9:9	Rejoice greatly, O daughter of Zion; shout, O daughter of Jerusalem: behold, thy King cometh unto thee: he is just, and having salvation; lowly, and riding upon an ass, and upon a colt the foal of an ass.
Zechariah 9:10	And I will cut off the chariot from Ephraim, and the horse from Jerusalem, and the battle bow shall be cut off: and he shall speak peace unto the heathen: and his dominion shall be from sea even to sea, and from the river even to the ends of the earth.
Zechariah 9:11	As for thee also, by the blood of thy covenant I have sent forth thy prisoners out of the pit wherein is no water.
Zechariah 9:12	Turn you to the strong hold, ye prisoners of hope: even to day do I declare that I will render double unto thee;
Zechariah 9:13	When I have bent Judah for me, filled the bow with Ephraim, and raised up thy sons, O Zion, against thy sons, O Greece, and made thee as the sword of a mighty man.
Zechariah 9:14	And the LORD shall be seen over them, and his arrow shall go forth as the lightning: and the LORD God shall blow the trumpet, and shall go with whirlwinds of the south.
Zechariah 9:15	The LORD of hosts shall defend them; and they shall devour, and subdue with sling stones; and they shall drink, and make a noise as through wine; and they shall be filled like bowls, and as the corners of the altar.
Zechariah 9:16	And the LORD their God shall save them in that day as the flock of his people: for they shall be as the stones of a crown, lifted up as an ensign upon his land.
Zechariah 9:17	For how great is his goodness, and how great is his beauty! corn shall make the young men cheerful, and new wine the maids.
Zechariah 10:1	Ask ye of the LORD rain in the time of the latter rain; so the LORD shall make bright clouds, and give them showers of rain, to every one grass in the field.
Zechariah 10:2	For the idols have spoken vanity, and the diviners have seen a lie, and have told false dreams; they comfort in vain: therefore they went their way as a flock, they were troubled, because there was no shepherd.
Zechariah 10:3	Mine anger was kindled against the shepherds, and I punished the goats: for the LORD of hosts hath visited his flock the house of Judah, and hath made them as his goodly horse in the battle.
Zechariah 10:4	Out of him came forth the corner, out of him the nail, out of him the battle bow, out of him every oppressor together.
Zechariah 10:5	And they shall be as mighty men, which tread down their enemies in the mire of the streets in the battle: and they shall fight, because the LORD is with them, and the riders on horses shall be confounded.
Zechariah 10:6	And I will strengthen the house of Judah, and I will save the house of Joseph, and I will bring them again to place them; for I have mercy upon them: and they shall be as though I had not cast them off: for I am the LORD their God, and will hear them.
Zechariah 10:7	And they of Ephraim shall be like a mighty man, and their heart shall rejoice as through wine: yea, their children shall see it, and be glad; their heart shall rejoice in the LORD.
Zechariah 10:8	I will hiss for them, and gather them; for I have redeemed them: and they shall increase as they have increased.
Zechariah 10:9	And I will sow them among the people: and they shall remember me in far countries; and they shall live with their children, and turn again.
Zechariah 10:10	I will bring them again also out of the land of Egypt, and gather them out of Assyria; and I will bring them into the land of Gilead and Lebanon; and place shall not be found for them.
Zechariah 10:11	And he shall pass through the sea with affliction, and shall smite the waves in the sea, and all the deeps of the river shall dry up: and the pride of Assyria shall be brought down, and the sceptre of Egypt shall depart away.
Zechariah 10:12	And I will strengthen them in the LORD; and they shall walk up and down in his name, saith the LORD.
Zechariah 11:1	Open thy doors, O Lebanon, that the fire may devour thy cedars.
Zechariah 11:2	Howl, fir tree; for the cedar is fallen; because the mighty are spoiled: howl, O ye oaks of Bashan; for the forest of the vintage is come down.
Zechariah 11:3	There is a voice of the howling of the shepherds; for their glory is spoiled: a voice of the roaring of young lions; for the pride of Jordan is spoiled.
Zechariah 11:4	Thus saith the LORD my God; Feed the flock of the slaughter;
Zechariah 11:5	Whose possessors slay them, and hold themselves not guilty: and they that sell them say, Blessed be the LORD; for I am rich: and their own shepherds pity them not.
Zechariah 11:6	For I will no more pity the inhabitants of the land, saith the LORD: but, lo, I will deliver the men every one into his neighbour's hand, and into the hand of his king: and they shall smite the land, and out of their hand I will not deliver them.
Zechariah 11:7	And I will feed the flock of slaughter, even you, O poor of the flock. And I took unto me two staves; the one I called Beauty, and the other I called Bands; and I fed the flock.
Zechariah 11:8	Three shepherds also I cut off in one month; and my soul lothed them, and their soul also abhorred me.
Zechariah 11:9	Then said I, I will not feed you: that that dieth, let it die; and that that is to be cut off, let it be cut off; and let the rest eat every one the flesh of another.
Zechariah 11:10	And I took my staff, even Beauty, and cut it asunder, that I might break my covenant which I had made with all the people.
Zechariah 11:11	And it was broken in that day: and so the poor of the flock that waited upon me knew that it was the word of the LORD.
Zechariah 11:12	And I said unto them, If ye think good, give me my price; and if not, forbear. So they weighed for my price thirty pieces of silver.
Zechariah 11:13	And the LORD said unto me, Cast it unto the potter: a goodly price that I was prised at of them. And I took the thirty pieces of silver, and cast them to the potter in the house of the LORD.
Zechariah 11:14	Then I cut asunder mine other staff, even Bands, that I might break the brotherhood between Judah and Israel.
Zechariah 11:15	And the LORD said unto me, Take unto thee yet the instruments of a foolish shepherd.
Zechariah 11:16	For, lo, I will raise up a shepherd in the land, which shall not visit those that be cut off, neither shall seek the young one, nor heal that that is broken, nor feed that that standeth still: but he shall eat the flesh of the fat, and tear their claws in pieces.
Zechariah 11:17	Woe to the idol shepherd that leaveth the flock! the sword shall be upon his arm, and upon his right eye: his arm shall be clean dried up, and his right eye shall be utterly darkened.
