Leviticus 27:31	And if a man will at all redeem ought of his tithes, he shall add thereto the fifth part thereof.
Leviticus 27:32	And concerning the tithe of the herd, or of the flock, even of whatsoever passeth under the rod, the tenth shall be holy unto the LORD.
Leviticus 27:33	He shall not search whether it be good or bad, neither shall he change it: and if he change it at all, then both it and the change thereof shall be holy; it shall not be redeemed.
Leviticus 27:34	These are the commandments, which the LORD commanded Moses for the children of Israel in mount Sinai.
Numbers 1:1	And the LORD spake unto Moses in the wilderness of Sinai, in the tabernacle of the congregation, on the first day of the second month, in the second year after they were come out of the land of Egypt, saying,
Numbers 1:2	Take ye the sum of all the congregation of the children of Israel, after their families, by the house of their fathers, with the number of their names, every male by their polls;
Numbers 1:3	From twenty years old and upward, all that are able to go forth to war in Israel: thou and Aaron shall number them by their armies.
Numbers 1:4	And with you there shall be a man of every tribe; every one head of the house of his fathers.
Numbers 1:5	And these are the names of the men that shall stand with you: of the tribe of Reuben; Elizur the son of Shedeur.
Numbers 1:6	Of Simeon; Shelumiel the son of Zurishaddai.
Numbers 1:7	Of Judah; Nahshon the son of Amminadab.
Numbers 1:8	Of Issachar; Nethaneel the son of Zuar.
Numbers 1:9	Of Zebulun; Eliab the son of Helon.
Numbers 1:10	Of the children of Joseph: of Ephraim; Elishama the son of Ammihud: of Manasseh; Gamaliel the son of Pedahzur.
Numbers 1:11	Of Benjamin; Abidan the son of Gideoni.
Numbers 1:12	Of Dan; Ahiezer the son of Ammishaddai.
Numbers 1:13	Of Asher; Pagiel the son of Ocran.
Numbers 1:14	Of Gad; Eliasaph the son of Deuel.
Numbers 1:15	Of Naphtali; Ahira the son of Enan.
Numbers 1:16	These were the renowned of the congregation, princes of the tribes of their fathers, heads of thousands in Israel.
Numbers 1:17	And Moses and Aaron took these men which are expressed by their names:
Numbers 1:18	And they assembled all the congregation together on the first day of the second month, and they declared their pedigrees after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, by their polls.
Numbers 1:19	As the LORD commanded Moses, so he numbered them in the wilderness of Sinai.
Numbers 1:20	And the children of Reuben, Israel's eldest son, by their generations, after their families, by the house of their fathers, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
Numbers 1:21	Those that were numbered of them, even of the tribe of Reuben, were forty and six thousand and five hundred.
Numbers 1:22	Of the children of Simeon, by their generations, after their families, by the house of their fathers, those that were numbered of them, according to the number of the names, by their polls, every male from twenty years old and upward, all that were able to go forth to war;
Numbers 1:23	Those that were numbered of them, even of the tribe of Simeon, were fifty and nine thousand and three hundred.
Numbers 1:24	Of the children of Gad, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:25	Those that were numbered of them, even of the tribe of Gad, were forty and five thousand six hundred and fifty.
Numbers 1:26	Of the children of Judah, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:27	Those that were numbered of them, even of the tribe of Judah, were threescore and fourteen thousand and six hundred.
Numbers 1:28	Of the children of Issachar, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:29	Those that were numbered of them, even of the tribe of Issachar, were fifty and four thousand and four hundred.
Numbers 1:30	Of the children of Zebulun, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:31	Those that were numbered of them, even of the tribe of Zebulun, were fifty and seven thousand and four hundred.
Numbers 1:32	Of the children of Joseph, namely, of the children of Ephraim, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:33	Those that were numbered of them, even of the tribe of Ephraim, were forty thousand and five hundred.
Numbers 1:34	Of the children of Manasseh, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:35	Those that were numbered of them, even of the tribe of Manasseh, were thirty and two thousand and two hundred.
Numbers 1:36	Of the children of Benjamin, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:37	Those that were numbered of them, even of the tribe of Benjamin, were thirty and five thousand and four hundred.
Numbers 1:38	Of the children of Dan, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:39	Those that were numbered of them, even of the tribe of Dan, were threescore and two thousand and seven hundred.
Numbers 1:40	Of the children of Asher, by their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:41	Those that were numbered of them, even of the tribe of Asher, were forty and one thousand and five hundred.
Numbers 1:42	Of the children of Naphtali, throughout their generations, after their families, by the house of their fathers, according to the number of the names, from twenty years old and upward, all that were able to go forth to war;
Numbers 1:43	Those that were numbered of them, even of the tribe of Naphtali, were fifty and three thousand and four hundred.
Numbers 1:44	These are those that were numbered, which Moses and Aaron numbered, and the princes of Israel, being twelve men: each one was for the house of his fathers.
Numbers 1:45	So were all those that were numbered of the children of Israel, by the house of their fathers, from twenty years old and upward, all that were able to go forth to war in Israel;
Numbers 1:46	Even all they that were numbered were six hundred thousand and three thousand and five hundred and fifty.
