Deuteronomy 18:17	And the LORD said unto me, They have well spoken that which they have spoken.
Deuteronomy 18:18	I will raise them up a Prophet from among their brethren, like unto thee, and will put my words in his mouth; and he shall speak unto them all that I shall command him.
Deuteronomy 18:19	And it shall come to pass, that whosoever will not hearken unto my words which he shall speak in my name, I will require it of him.
Deuteronomy 18:20	But the prophet, which shall presume to speak a word in my name, which I have not commanded him to speak, or that shall speak in the name of other gods, even that prophet shall die.
Deuteronomy 18:21	And if thou say in thine heart, How shall we know the word which the LORD hath not spoken?
Deuteronomy 18:22	When a prophet speaketh in the name of the LORD, if the thing follow not, nor come to pass, that is the thing which the LORD hath not spoken, but the prophet hath spoken it presumptuously: thou shalt not be afraid of him.
Deuteronomy 19:1	When the LORD thy God hath cut off the nations, whose land the LORD thy God giveth thee, and thou succeedest them, and dwellest in their cities, and in their houses;
Deuteronomy 19:2	Thou shalt separate three cities for thee in the midst of thy land, which the LORD thy God giveth thee to possess it.
Deuteronomy 19:3	Thou shalt prepare thee a way, and divide the coasts of thy land, which the LORD thy God giveth thee to inherit, into three parts, that every slayer may flee thither.
Deuteronomy 19:4	And this is the case of the slayer, which shall flee thither, that he may live: Whoso killeth his neighbor ignorantly, whom he hated not in time past;
Deuteronomy 19:5	As when a man goeth into the wood with his neighbor to hew wood, and his hand fetcheth a stroke with the axe to cut down the tree, and the head slippeth from the helve, and lighteth upon his neighbor, that he die; he shall flee unto one of those cities, and live:
Deuteronomy 19:6	Lest the avenger of the blood pursue the slayer, while his heart is hot, and overtake him, because the way is long, and slay him; whereas he was not worthy of death, inasmuch as he hated him not in time past.
Deuteronomy 19:7	Wherefore I command thee, saying, Thou shalt separate three cities for thee.
Deuteronomy 19:8	And if the LORD thy God enlarge thy coast, as he hath sworn unto thy fathers, and give thee all the land which he promised to give unto thy fathers;
Deuteronomy 19:9	If thou shalt keep all these commandments to do them, which I command thee this day, to love the LORD thy God, and to walk ever in his ways; then shalt thou add three cities more for thee, beside these three:
Deuteronomy 19:10	That innocent blood be not shed in thy land, which the LORD thy God giveth thee for an inheritance, and so blood be upon thee.
Deuteronomy 19:11	But if any man hate his neighbor, and lie in wait for him, and rise up against him, and smite him mortally that he die, and fleeth into one of these cities:
Deuteronomy 19:12	Then the elders of his city shall send and fetch him thence, and deliver him into the hand of the avenger of blood, that he may die.
Deuteronomy 19:13	Thine eye shall not pity him, but thou shalt put away the guilt of innocent blood from Israel, that it may go well with thee.
