Deuteronomy 25:4	Thou shalt not muzzle the ox when he treadeth out the corn.
Deuteronomy 25:5	If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her.
Deuteronomy 25:6	And it shall be, that the firstborn which she beareth shall succeed in the name of his brother which is dead, that his name be not put out of Israel.
Deuteronomy 25:7	And if the man like not to take his brother's wife, then let his brother's wife go up to the gate unto the elders, and say, My husband's brother refuseth to raise up unto his brother a name in Israel, he will not perform the duty of my husband's brother.
Deuteronomy 25:8	Then the elders of his city shall call him, and speak unto him: and if he stand to it, and say, I like not to take her;
Deuteronomy 25:9	Then shall his brother's wife come unto him in the presence of the elders, and loose his shoe from off his foot, and spit in his face, and shall answer and say, So shall it be done unto that man that will not build up his brother's house.
Deuteronomy 25:10	And his name shall be called in Israel, The house of him that hath his shoe loosed.
Deuteronomy 25:11	When men strive together one with another, and the wife of the one draweth near for to deliver her husband out of the hand of him that smiteth him, and putteth forth her hand, and taketh him by the secrets:
Deuteronomy 25:12	Then thou shalt cut off her hand, thine eye shall not pity her.
Deuteronomy 25:13	Thou shalt not have in thy bag divers weights, a great and a small.
Deuteronomy 25:14	Thou shalt not have in thine house divers measures, a great and a small.
Deuteronomy 25:15	But thou shalt have a perfect and just weight, a perfect and just measure shalt thou have: that thy days may be lengthened in the land which the LORD thy God giveth thee.
Deuteronomy 25:16	For all that do such things, and all that do unrighteously, are an abomination unto the LORD thy God.
Deuteronomy 25:17	Remember what Amalek did unto thee by the way, when ye were come forth out of Egypt;
Deuteronomy 25:18	How he met thee by the way, and smote the hindmost of thee, even all that were feeble behind thee, when thou wast faint and weary; and he feared not God.
Deuteronomy 25:19	Therefore it shall be, when the LORD thy God hath given thee rest from all thine enemies round about, in the land which the LORD thy God giveth thee for an inheritance to possess it, that thou shalt blot out the remembrance of Amalek from under heaven; thou shalt not forget it.
Deuteronomy 26:1	And it shall be, when thou art come in unto the land which the LORD thy God giveth thee for an inheritance, and possessest it, and dwellest therein;
Deuteronomy 26:2	That thou shalt take of the first of all the fruit of the earth, which thou shalt bring of thy land that the LORD thy God giveth thee, and shalt put it in a basket, and shalt go unto the place which the LORD thy God shall choose to place his name there.
Deuteronomy 26:3	And thou shalt go unto the priest that shall be in those days, and say unto him, I profess this day unto the LORD thy God, that I am come unto the country which the LORD sware unto our fathers for to give us.
Deuteronomy 26:4	And the priest shall take the basket out of thine hand, and set it down before the altar of the LORD thy God.
Deuteronomy 26:5	And thou shalt speak and say before the LORD thy God, A Syrian ready to perish was my father, and he went down into Egypt, and sojourned there with a few, and became there a nation, great, mighty, and populous:
Deuteronomy 26:6	And the Egyptians evil entreated us, and afflicted us, and laid upon us hard bondage:
Deuteronomy 26:7	And when we cried unto the LORD God of our fathers, the LORD heard our voice, and looked on our affliction, and our labor, and our oppression:
Deuteronomy 26:8	And the LORD brought us forth out of Egypt with a mighty hand, and with an outstretched arm, and with great terribleness, and with signs, and with wonders:
Deuteronomy 26:9	And he hath brought us into this place, and hath given us this land, even a land that floweth with milk and honey.
Deuteronomy 26:10	And now, behold, I have brought the firstfruits of the land, which thou, O LORD, hast given me. And thou shalt set it before the LORD thy God, and worship before the LORD thy God:
Deuteronomy 26:11	And thou shalt rejoice in every good thing which the LORD thy God hath given unto thee, and unto thine house, thou, and the Levite, and the stranger that is among you.
Deuteronomy 26:12	When thou hast made an end of tithing all the tithes of thine increase the third year, which is the year of tithing, and hast given it unto the Levite, the stranger, the fatherless, and the widow, that they may eat within thy gates, and be filled;
Deuteronomy 26:13	Then thou shalt say before the LORD thy God, I have brought away the hallowed things out of mine house, and also have given them unto the Levite, and unto the stranger, to the fatherless, and to the widow, according to all thy commandments which thou hast commanded me: I have not transgressed thy commandments, neither have I forgotten them.
Deuteronomy 26:14	I have not eaten thereof in my mourning, neither have I taken away ought thereof for any unclean use, nor given ought thereof for the dead: but I have hearkened to the voice of the LORD my God, and have done according to all that thou hast commanded me.
Deuteronomy 26:15	Look down from thy holy habitation, from heaven, and bless thy people Israel, and the land which thou hast given us, as thou swarest unto our fathers, a land that floweth with milk and honey.
Deuteronomy 26:16	This day the LORD thy God hath commanded thee to do these statutes and judgments: thou shalt therefore keep and do them with all thine heart, and with all thy soul.
Deuteronomy 26:17	Thou hast avouched the LORD this day to be thy God, and to walk in his ways, and to keep his statutes, and his commandments, and his judgments, and to hearken unto his voice:
Deuteronomy 26:18	And the LORD hath avouched thee this day to be his peculiar people, as he hath promised thee, and that thou shouldest keep all his commandments;
Deuteronomy 26:19	And to make thee high above all nations which he hath made, in praise, and in name, and in honor; and that thou mayest be an holy people unto the LORD thy God, as he hath spoken.
Deuteronomy 27:1	And Moses with the elders of Israel commanded the people, saying, Keep all the commandments which I command you this day.
Deuteronomy 27:2	And it shall be on the day when ye shall pass over Jordan unto the land which the LORD thy God giveth thee, that thou shalt set thee up great stones, and plaster them with plaster:
Deuteronomy 27:3	And thou shalt write upon them all the words of this law, when thou art passed over, that thou mayest go in unto the land which the LORD thy God giveth thee, a land that floweth with milk and honey; as the LORD God of thy fathers hath promised thee.
Deuteronomy 27:4	Therefore it shall be when ye be gone over Jordan, that ye shall set up these stones, which I command you this day, in mount Ebal, and thou shalt plaster them with plaster.
Deuteronomy 27:5	And there shalt thou build an altar unto the LORD thy God, an altar of stones: thou shalt not lift up any iron tool upon them.
Deuteronomy 27:6	Thou shalt build the altar of the LORD thy God of whole stones: and thou shalt offer burnt offerings thereon unto the LORD thy God:
Deuteronomy 27:7	And thou shalt offer peace offerings, and shalt eat there, and rejoice before the LORD thy God.
Deuteronomy 27:8	And thou shalt write upon the stones all the words of this law very plainly.
Deuteronomy 27:9	And Moses and the priests the Levites spake unto all Israel, saying, Take heed, and hearken, O Israel; this day thou art become the people of the LORD thy God.
Deuteronomy 27:10	Thou shalt therefore obey the voice of the LORD thy God, and do his commandments and his statutes, which I command thee this day.
Deuteronomy 27:11	And Moses charged the people the same day, saying,
Deuteronomy 27:12	These shall stand upon mount Gerizim to bless the people, when ye are come over Jordan; Simeon, and Levi, and Judah, and Issachar, and Joseph, and Benjamin:
Deuteronomy 27:13	And these shall stand upon mount Ebal to curse; Reuben, Gad, and Asher, and Zebulun, Dan, and Naphtali.
Deuteronomy 27:14	And the Levites shall speak, and say unto all the men of Israel with a loud voice,
Deuteronomy 27:15	Cursed be the man that maketh any graven or molten image, an abomination unto the LORD, the work of the hands of the craftsman, and putteth it in a secret place. And all the people shall answer and say, Amen.
