1 Chronicles 8:26	And Shamsherai, and Shehariah, and Athaliah,
1 Chronicles 8:27	And Jaresiah, and Eliah, and Zichri, the sons of Jeroham.
1 Chronicles 8:28	These were heads of the fathers, by their generations, chief men. These dwelt in Jerusalem.
1 Chronicles 8:29	And at Gibeon dwelt the father of Gibeon; whose wife's name was Maachah:
1 Chronicles 8:30	And his firstborn son Abdon, and Zur, and Kish, and Baal, and Nadab,
1 Chronicles 8:31	And Gedor, and Ahio, and Zacher.
1 Chronicles 8:32	And Mikloth begat Shimeah. And these also dwelt with their brethren in Jerusalem, over against them.
1 Chronicles 8:33	And Ner begat Kish, and Kish begat Saul, and Saul begat Jonathan, and Malchishua, and Abinadab, and Eshbaal.
1 Chronicles 8:34	And the son of Jonathan was Meribbaal; and Meribbaal begat Micah.
1 Chronicles 8:35	And the sons of Micah were, Pithon, and Melech, and Tarea, and Ahaz.
1 Chronicles 8:36	And Ahaz begat Jehoadah; and Jehoadah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza,
1 Chronicles 8:37	And Moza begat Binea: Rapha was his son, Eleasah his son, Azel his son:
1 Chronicles 8:38	And Azel had six sons, whose names are these, Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan. All these were the sons of Azel.
1 Chronicles 8:39	And the sons of Eshek his brother were, Ulam his firstborn, Jehush the second, and Eliphelet the third.
1 Chronicles 8:40	And the sons of Ulam were mighty men of valor, archers, and had many sons, and sons' sons, an hundred and fifty. All these are of the sons of Benjamin.
1 Chronicles 9:1	So all Israel were reckoned by genealogies; and, behold, they were written in the book of the kings of Israel and Judah, who were carried away to Babylon for their transgression.
1 Chronicles 9:2	Now the first inhabitants that dwelt in their possessions in their cities were, the Israelites, the priests, Levites, and the Nethinims.
1 Chronicles 9:3	And in Jerusalem dwelt of the children of Judah, and of the children of Benjamin, and of the children of Ephraim, and Manasseh;
1 Chronicles 9:4	Uthai the son of Ammihud, the son of Omri, the son of Imri, the son of Bani, of the children of Pharez the son of Judah.
1 Chronicles 9:5	And of the Shilonites; Asaiah the firstborn, and his sons.
1 Chronicles 9:6	And of the sons of Zerah; Jeuel, and their brethren, six hundred and ninety.
1 Chronicles 9:7	And of the sons of Benjamin; Sallu the son of Meshullam, the son of Hodaviah, the son of Hasenuah,
1 Chronicles 9:8	And Ibneiah the son of Jeroham, and Elah the son of Uzzi, the son of Michri, and Meshullam the son of Shephathiah, the son of Reuel, the son of Ibnijah;
1 Chronicles 9:9	And their brethren, according to their generations, nine hundred and fifty and six. All these men were chief of the fathers in the house of their fathers.
1 Chronicles 9:10	And of the priests; Jedaiah, and Jehoiarib, and Jachin,
1 Chronicles 9:11	And Azariah the son of Hilkiah, the son of Meshullam, the son of Zadok, the son of Meraioth, the son of Ahitub, the ruler of the house of God;
1 Chronicles 9:12	And Adaiah the son of Jeroham, the son of Pashur, the son of Malchijah, and Maasiai the son of Adiel, the son of Jahzerah, the son of Meshullam, the son of Meshillemith, the son of Immer;
1 Chronicles 9:13	And their brethren, heads of the house of their fathers, a thousand and seven hundred and threescore; very able men for the work of the service of the house of God.
1 Chronicles 9:14	And of the Levites; Shemaiah the son of Hasshub, the son of Azrikam, the son of Hashabiah, of the sons of Merari;
1 Chronicles 9:15	And Bakbakkar, Heresh, and Galal, and Mattaniah the son of Micah, the son of Zichri, the son of Asaph;
1 Chronicles 9:16	And Obadiah the son of Shemaiah, the son of Galal, the son of Jeduthun, and Berechiah the son of Asa, the son of Elkanah, that dwelt in the villages of the Netophathites.
1 Chronicles 9:17	And the porters were, Shallum, and Akkub, and Talmon, and Ahiman, and their brethren: Shallum was the chief;
1 Chronicles 9:18	Who hitherto waited in the king's gate eastward: they were porters in the companies of the children of Levi.
1 Chronicles 9:19	And Shallum the son of Kore, the son of Ebiasaph, the son of Korah, and his brethren, of the house of his father, the Korahites, were over the work of the service, keepers of the gates of the tabernacle: and their fathers, being over the host of the LORD, were keepers of the entry.
1 Chronicles 9:20	And Phinehas the son of Eleazar was the ruler over them in time past, and the LORD was with him.
1 Chronicles 9:21	And Zechariah the son of Meshelemiah was porter of the door of the tabernacle of the congregation.
1 Chronicles 9:22	All these which were chosen to be porters in the gates were two hundred and twelve. These were reckoned by their genealogy in their villages, whom David and Samuel the seer did ordain in their set office.
1 Chronicles 9:23	So they and their children had the oversight of the gates of the house of the LORD, namely, the house of the tabernacle, by wards.
1 Chronicles 9:24	In four quarters were the porters, toward the east, west, north, and south.
