Proverbs 11:13	A talebearer revealeth secrets: but he that is of a faithful spirit concealeth the matter.
Proverbs 11:14	Where no counsel is, the people fall: but in the multitude of counsellors there is safety.
Proverbs 11:15	He that is surety for a stranger shall smart for it: and he that hateth suretiship is sure.
Proverbs 11:16	A gracious woman retaineth honour: and strong men retain riches.
Proverbs 11:17	The merciful man doeth good to his own soul: but he that is cruel troubleth his own flesh.
Proverbs 11:18	The wicked worketh a deceitful work: but to him that soweth righteousness shall be a sure reward.
Proverbs 11:19	As righteousness tendeth to life: so he that pursueth evil pursueth it to his own death.
Proverbs 11:20	They that are of a froward heart are abomination to the LORD: but such as are upright in their way are his delight.
Proverbs 11:21	Though hand join in hand, the wicked shall not be unpunished: but the seed of the righteous shall be delivered.
Proverbs 11:22	As a jewel of gold in a swine's snout, so is a fair woman which is without discretion.
Proverbs 11:23	The desire of the righteous is only good: but the expectation of the wicked is wrath.
Proverbs 11:24	There is that scattereth, and yet increaseth; and there is that withholdeth more than is meet, but it tendeth to poverty.
Proverbs 11:25	The liberal soul shall be made fat: and he that watereth shall be watered also himself.
Proverbs 11:26	He that withholdeth corn, the people shall curse him: but blessing shall be upon the head of him that selleth it.
Proverbs 11:27	He that diligently seeketh good procureth favour: but he that seeketh mischief, it shall come unto him.
Proverbs 11:28	He that trusteth in his riches shall fall; but the righteous shall flourish as a branch.
Proverbs 11:29	He that troubleth his own house shall inherit the wind: and the fool shall be servant to the wise of heart.
Proverbs 11:30	The fruit of the righteous is a tree of life; and he that winneth souls is wise.
Proverbs 11:31	Behold, the righteous shall be recompensed in the earth: much more the wicked and the sinner.
Proverbs 12:1	Whoso loveth instruction loveth knowledge: but he that hateth reproof is brutish.
Proverbs 12:2	A good man obtaineth favour of the LORD: but a man of wicked devices will he condemn.
Proverbs 12:3	A man shall not be established by wickedness: but the root of the righteous shall not be moved.
Proverbs 12:4	A virtuous woman is a crown to her husband: but she that maketh ashamed is as rottenness in his bones.
Proverbs 12:5	The thoughts of the righteous are right: but the counsels of the wicked are deceit.
Proverbs 12:6	The words of the wicked are to lie in wait for blood: but the mouth of the upright shall deliver them.
Proverbs 12:7	The wicked are overthrown, and are not: but the house of the righteous shall stand.
Proverbs 12:8	A man shall be commended according to his wisdom: but he that is of a perverse heart shall be despised.
Proverbs 12:9	He that is despised, and hath a servant, is better than he that honoureth himself, and lacketh bread.
Proverbs 12:10	A righteous man regardeth the life of his beast: but the tender mercies of the wicked are cruel.
Proverbs 12:11	He that tilleth his land shall be satisfied with bread: but he that followeth vain persons is void of understanding.
Proverbs 12:12	The wicked desireth the net of evil men: but the root of the righteous yieldeth fruit.
Proverbs 12:13	The wicked is snared by the transgression of his lips: but the just shall come out of trouble.
Proverbs 12:14	A man shall be satisfied with good by the fruit of his mouth: and the recompence of a man's hands shall be rendered unto him.
Proverbs 12:15	The way of a fool is right in his own eyes: but he that hearkeneth unto counsel is wise.
Proverbs 12:16	A fool's wrath is presently known: but a prudent man covereth shame.
Proverbs 12:17	He that speaketh truth sheweth forth righteousness: but a false witness deceit.
Proverbs 12:18	There is that speaketh like the piercings of a sword: but the tongue of the wise is health.
Proverbs 12:19	The lip of truth shall be established for ever: but a lying tongue is but for a moment.
Proverbs 12:20	Deceit is in the heart of them that imagine evil: but to the counsellors of peace is joy.
Proverbs 12:21	There shall no evil happen to the just: but the wicked shall be filled with mischief.
Proverbs 12:22	Lying lips are abomination to the LORD: but they that deal truly are his delight.
Proverbs 12:23	A prudent man concealeth knowledge: but the heart of fools proclaimeth foolishness.
Proverbs 12:24	The hand of the diligent shall bear rule: but the slothful shall be under tribute.
Proverbs 12:25	Heaviness in the heart of man maketh it stoop: but a good word maketh it glad.
Proverbs 12:26	The righteous is more excellent than his neighbour: but the way of the wicked seduceth them.
Proverbs 12:27	The slothful man roasteth not that which he took in hunting: but the substance of a diligent man is precious.
Proverbs 12:28	In the way of righteousness is life: and in the pathway thereof there is no death.
Proverbs 13:1	A wise son heareth his father's instruction: but a scorner heareth not rebuke.
Proverbs 13:2	A man shall eat good by the fruit of his mouth: but the soul of the transgressors shall eat violence.
Proverbs 13:3	He that keepeth his mouth keepeth his life: but he that openeth wide his lips shall have destruction.
