Proverbs 28:5	Evil men understand not judgment: but they that seek the LORD understand all things.
Proverbs 28:6	Better is the poor that walketh in his uprightness, than he that is perverse in his ways, though he be rich.
Proverbs 28:7	Whoso keepeth the law is a wise son: but he that is a companion of riotous men shameth his father.
Proverbs 28:8	He that by usury and unjust gain increaseth his substance, he shall gather it for him that will pity the poor.
Proverbs 28:9	He that turneth away his ear from hearing the law, even his prayer shall be abomination.
Proverbs 28:10	Whoso causeth the righteous to go astray in an evil way, he shall fall himself into his own pit: but the upright shall have good things in possession.
Proverbs 28:11	The rich man is wise in his own conceit; but the poor that hath understanding searcheth him out.
Proverbs 28:12	When righteous men do rejoice, there is great glory: but when the wicked rise, a man is hidden.
Proverbs 28:13	He that covereth his sins shall not prosper: but whoso confesseth and forsaketh them shall have mercy.
Proverbs 28:14	Happy is the man that feareth alway: but he that hardeneth his heart shall fall into mischief.
Proverbs 28:15	As a roaring lion, and a ranging bear; so is a wicked ruler over the poor people.
Proverbs 28:16	The prince that wanteth understanding is also a great oppressor: but he that hateth covetousness shall prolong his days.
Proverbs 28:17	A man that doeth violence to the blood of any person shall flee to the pit; let no man stay him.
Proverbs 28:18	Whoso walketh uprightly shall be saved: but he that is perverse in his ways shall fall at once.
Proverbs 28:19	He that tilleth his land shall have plenty of bread: but he that followeth after vain persons shall have poverty enough.
Proverbs 28:20	A faithful man shall abound with blessings: but he that maketh haste to be rich shall not be innocent.
Proverbs 28:21	To have respect of persons is not good: for for a piece of bread that man will transgress.
Proverbs 28:22	He that hasteth to be rich hath an evil eye, and considereth not that poverty shall come upon him.
Proverbs 28:23	He that rebuketh a man afterwards shall find more favour than he that flattereth with the tongue.
Proverbs 28:24	Whoso robbeth his father or his mother, and saith, It is no transgression; the same is the companion of a destroyer.
Proverbs 28:25	He that is of a proud heart stirreth up strife: but he that putteth his trust in the LORD shall be made fat.
Proverbs 28:26	He that trusteth in his own heart is a fool: but whoso walketh wisely, he shall be delivered.
Proverbs 28:27	He that giveth unto the poor shall not lack: but he that hideth his eyes shall have many a curse.
Proverbs 28:28	When the wicked rise, men hide themselves: but when they perish, the righteous increase.
Proverbs 29:1	He, that being often reproved hardeneth his neck, shall suddenly be destroyed, and that without remedy.
Proverbs 29:2	When the righteous are in authority, the people rejoice: but when the wicked beareth rule, the people mourn.
Proverbs 29:3	Whoso loveth wisdom rejoiceth his father: but he that keepeth company with harlots spendeth his substance.
Proverbs 29:4	The king by judgment establisheth the land: but he that receiveth gifts overthroweth it.
Proverbs 29:5	A man that flattereth his neighbour spreadeth a net for his feet.
Proverbs 29:6	In the transgression of an evil man there is a snare: but the righteous doth sing and rejoice.
Proverbs 29:7	The righteous considereth the cause of the poor: but the wicked regardeth not to know it.
Proverbs 29:8	Scornful men bring a city into a snare: but wise men turn away wrath.
Proverbs 29:9	If a wise man contendeth with a foolish man, whether he rage or laugh, there is no rest.
Proverbs 29:10	The bloodthirsty hate the upright: but the just seek his soul.
Proverbs 29:11	A fool uttereth all his mind: but a wise man keepeth it in till afterwards.
Proverbs 29:12	If a ruler hearken to lies, all his servants are wicked.
Proverbs 29:13	The poor and the deceitful man meet together: the LORD lighteneth both their eyes.
Proverbs 29:14	The king that faithfully judgeth the poor, his throne shall be established for ever.
Proverbs 29:15	The rod and reproof give wisdom: but a child left to himself bringeth his mother to shame.
Proverbs 29:16	When the wicked are multiplied, transgression increaseth: but the righteous shall see their fall.
Proverbs 29:17	Correct thy son, and he shall give thee rest; yea, he shall give delight unto thy soul.
Proverbs 29:18	Where there is no vision, the people perish: but he that keepeth the law, happy is he.
Proverbs 29:19	A servant will not be corrected by words: for though he understand he will not answer.
Proverbs 29:20	Seest thou a man that is hasty in his words? there is more hope of a fool than of him.
Proverbs 29:21	He that delicately bringeth up his servant from a child shall have him become his son at the length.
Proverbs 29:22	An angry man stirreth up strife, and a furious man aboundeth in transgression.
Proverbs 29:23	A man's pride shall bring him low: but honour shall uphold the humble in spirit.
Proverbs 29:24	Whoso is partner with a thief hateth his own soul: he heareth cursing, and bewrayeth it not.
Proverbs 29:25	The fear of man bringeth a snare: but whoso putteth his trust in the LORD shall be safe.
Proverbs 29:26	Many seek the ruler's favour; but every man's judgment cometh from the LORD.
