Isaiah 2:16	And upon all the ships of Tarshish, and upon all pleasant pictures.
Isaiah 2:17	And the loftiness of man shall be bowed down, and the haughtiness of men shall be made low: and the LORD alone shall be exalted in that day.
Isaiah 2:18	And the idols he shall utterly abolish.
Isaiah 2:19	And they shall go into the holes of the rocks, and into the caves of the earth, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.
Isaiah 2:20	In that day a man shall cast his idols of silver, and his idols of gold, which they made each one for himself to worship, to the moles and to the bats;
Isaiah 2:21	To go into the clefts of the rocks, and into the tops of the ragged rocks, for fear of the LORD, and for the glory of his majesty, when he ariseth to shake terribly the earth.
Isaiah 2:22	Cease ye from man, whose breath is in his nostrils: for wherein is he to be accounted of ?
Isaiah 3:1	For, behold, the Lord, the LORD of hosts, doth take away from Jerusalem and from Judah the stay and the staff, the whole stay of bread, and the whole stay of water.
Isaiah 3:2	The mighty man, and the man of war, the judge, and the prophet, and the prudent, and the ancient,
Isaiah 3:3	The captain of fifty, and the honourable man, and the counsellor, and the cunning artificer, and the eloquent orator.
Isaiah 3:4	And I will give children to be their princes, and babes shall rule over them.
Isaiah 3:5	And the people shall be oppressed, every one by another, and every one by his neighbour: the child shall behave himself proudly against the ancient, and the base against the honourable.
Isaiah 3:6	When a man shall take hold of his brother of the house of his father, saying, Thou hast clothing, be thou our ruler, and let this ruin be under thy hand:
Isaiah 3:7	In that day shall he swear, saying, I will not be an healer; for in my house is neither bread nor clothing: make me not a ruler of the people.
Isaiah 3:8	For Jerusalem is ruined, and Judah is fallen: because their tongue and their doings are against the LORD, to provoke the eyes of his glory.
Isaiah 3:9	The shew of their countenance doth witness against them; and they declare their sin as Sodom, they hide it not. Woe unto their soul! for they have rewarded evil unto themselves.
Isaiah 3:10	Say ye to the righteous, that it shall be well with him: for they shall eat the fruit of their doings.
Isaiah 3:11	Woe unto the wicked! it shall be ill with him: for the reward of his hands shall be given him.
Isaiah 3:12	As for my people, children are their oppressors, and women rule over them. O my people, they which lead thee cause thee to err, and destroy the way of thy paths.
Isaiah 3:13	The LORD standeth up to plead, and standeth to judge the people.
Isaiah 3:14	The LORD will enter into judgment with the ancients of his people, and the princes thereof: for ye have eaten up the vineyard; the spoil of the poor is in your houses.
Isaiah 3:15	What mean ye that ye beat my people to pieces, and grind the faces of the poor? saith the Lord GOD of hosts.
Isaiah 3:16	Moreover the LORD saith, Because the daughters of Zion are haughty, and walk with stretched forth necks and wanton eyes, walking and mincing as they go, and making a tinkling with their feet:
Isaiah 3:17	Therefore the LORD will smite with a scab the crown of the head of the daughters of Zion, and the LORD will discover their secret parts.
Isaiah 3:18	In that day the Lord will take away the bravery of their tinkling ornaments about their feet, and their cauls, and their round tires like the moon,
Isaiah 3:19	The chains, and the bracelets, and the mufflers,
Isaiah 3:20	The bonnets, and the ornaments of the legs, and the headbands, and the tablets, and the earrings,
Isaiah 3:21	The rings, and nose jewels,
Isaiah 3:22	The changeable suits of apparel, and the mantles, and the wimples, and the crisping pins,
