Deuteronomy 2:13	Now rise up, said I, and get you over the brook Zered. And we went over the brook Zered.
Deuteronomy 2:14	And the space in which we came from Kadeshbarnea, until we were come over the brook Zered, was thirty and eight years; until all the generation of the men of war were wasted out from among the host, as the LORD sware unto them.
Deuteronomy 2:15	For indeed the hand of the LORD was against them, to destroy them from among the host, until they were consumed.
Deuteronomy 2:16	So it came to pass, when all the men of war were consumed and dead from among the people,
Deuteronomy 2:17	That the LORD spake unto me, saying,
Deuteronomy 2:18	Thou art to pass over through Ar, the coast of Moab, this day:
Deuteronomy 2:19	And when thou comest nigh over against the children of Ammon, distress them not, nor meddle with them: for I will not give thee of the land of the children of Ammon any possession; because I have given it unto the children of Lot for a possession.
Deuteronomy 2:20	(That also was accounted a land of giants: giants dwelt therein in old time; and the Ammonites call them Zamzummims;
Deuteronomy 2:21	A people great, and many, and tall, as the Anakims; but the LORD destroyed them before them; and they succeeded them, and dwelt in their stead:
Deuteronomy 2:22	As he did to the children of Esau, which dwelt in Seir, when he destroyed the Horims from before them; and they succeeded them, and dwelt in their stead even unto this day:
Deuteronomy 2:23	And the Avims which dwelt in Hazerim, even unto Azzah, the Caphtorims, which came forth out of Caphtor, destroyed them, and dwelt in their stead.)
Deuteronomy 2:24	Rise ye up, take your journey, and pass over the river Arnon: behold, I have given into thine hand Sihon the Amorite, king of Heshbon, and his land: begin to possess it, and contend with him in battle.
Deuteronomy 2:25	This day will I begin to put the dread of thee and the fear of thee upon the nations that are under the whole heaven, who shall hear report of thee, and shall tremble, and be in anguish because of thee.
Deuteronomy 2:26	And I sent messengers out of the wilderness of Kedemoth unto Sihon king of Heshbon with words of peace, saying,
Deuteronomy 2:27	Let me pass through thy land: I will go along by the high way, I will neither turn unto the right hand nor to the left.
Deuteronomy 2:28	Thou shalt sell me meat for money, that I may eat; and give me water for money, that I may drink: only I will pass through on my feet;
Deuteronomy 2:29	(As the children of Esau which dwell in Seir, and the Moabites which dwell in Ar, did unto me;) until I shall pass over Jordan into the land which the LORD our God giveth us.
Deuteronomy 2:30	But Sihon king of Heshbon would not let us pass by him: for the LORD thy God hardened his spirit, and made his heart obstinate, that he might deliver him into thy hand, as appeareth this day.
Deuteronomy 2:31	And the LORD said unto me, Behold, I have begun to give Sihon and his land before thee: begin to possess, that thou mayest inherit his land.
Deuteronomy 2:32	Then Sihon came out against us, he and all his people, to fight at Jahaz.
Deuteronomy 2:33	And the LORD our God delivered him before us; and we smote him, and his sons, and all his people.
Deuteronomy 2:34	And we took all his cities at that time, and utterly destroyed the men, and the women, and the little ones, of every city, we left none to remain:
Deuteronomy 2:35	Only the cattle we took for a prey unto ourselves, and the spoil of the cities which we took.
Deuteronomy 2:36	From Aroer, which is by the brink of the river of Arnon, and from the city that is by the river, even unto Gilead, there was not one city too strong for us: the LORD our God delivered all unto us:
Deuteronomy 2:37	Only unto the land of the children of Ammon thou camest not, nor unto any place of the river Jabbok, nor unto the cities in the mountains, nor unto whatsoever the LORD our God forbade us.
Deuteronomy 3:1	Then we turned, and went up the way to Bashan: and Og the king of Bashan came out against us, he and all his people, to battle at Edrei.
Deuteronomy 3:2	And the LORD said unto me, Fear him not: for I will deliver him, and all his people, and his land, into thy hand; and thou shalt do unto him as thou didst unto Sihon king of the Amorites, which dwelt at Heshbon.
Deuteronomy 3:3	So the LORD our God delivered into our hands Og also, the king of Bashan, and all his people: and we smote him until none was left to him remaining.
Deuteronomy 3:4	And we took all his cities at that time, there was not a city which we took not from them, threescore cities, all the region of Argob, the kingdom of Og in Bashan.
Deuteronomy 3:5	All these cities were fenced with high walls, gates, and bars; beside unwalled towns a great many.
Deuteronomy 3:6	And we utterly destroyed them, as we did unto Sihon king of Heshbon, utterly destroying the men, women, and children, of every city.
Deuteronomy 3:7	But all the cattle, and the spoil of the cities, we took for a prey to ourselves.
Deuteronomy 3:8	And we took at that time out of the hand of the two kings of the Amorites the land that was on this side Jordan, from the river of Arnon unto mount Hermon;
Deuteronomy 3:9	(Which Hermon the Sidonians call Sirion; and the Amorites call it Shenir;)
Deuteronomy 3:10	All the cities of the plain, and all Gilead, and all Bashan, unto Salchah and Edrei, cities of the kingdom of Og in Bashan.
Deuteronomy 3:11	For only Og king of Bashan remained of the remnant of giants; behold his bedstead was a bedstead of iron; is it not in Rabbath of the children of Ammon? nine cubits was the length thereof, and four cubits the breadth of it, after the cubit of a man.
Deuteronomy 3:12	And this land, which we possessed at that time, from Aroer, which is by the river Arnon, and half mount Gilead, and the cities thereof, gave I unto the Reubenites and to the Gadites.
Deuteronomy 3:13	And the rest of Gilead, and all Bashan, being the kingdom of Og, gave I unto the half tribe of Manasseh; all the region of Argob, with all Bashan, which was called the land of giants.
Deuteronomy 3:14	Jair the son of Manasseh took all the country of Argob unto the coasts of Geshuri and Maachathi; and called them after his own name, Bashanhavothjair, unto this day.
Deuteronomy 3:15	And I gave Gilead unto Machir.
Deuteronomy 3:16	And unto the Reubenites and unto the Gadites I gave from Gilead even unto the river Arnon half the valley, and the border even unto the river Jabbok, which is the border of the children of Ammon;
Deuteronomy 3:17	The plain also, and Jordan, and the coast thereof, from Chinnereth even unto the sea of the plain, even the salt sea, under Ashdothpisgah eastward.
