1 Kings 22:21	And there came forth a spirit, and stood before the LORD, and said, I will persuade him.
1 Kings 22:22	And the LORD said unto him, Wherewith? And he said, I will go forth, and I will be a lying spirit in the mouth of all his prophets. And he said, Thou shalt persuade him, and prevail also: go forth, and do so.
1 Kings 22:23	Now therefore, behold, the LORD hath put a lying spirit in the mouth of all these thy prophets, and the LORD hath spoken evil concerning thee.
1 Kings 22:24	But Zedekiah the son of Chenaanah went near, and smote Micaiah on the cheek, and said, Which way went the Spirit of the LORD from me to speak unto thee?
1 Kings 22:25	And Micaiah said, Behold, thou shalt see in that day, when thou shalt go into an inner chamber to hide thyself.
1 Kings 22:26	And the king of Israel said, Take Micaiah, and carry him back unto Amon the governor of the city, and to Joash the king's son;
1 Kings 22:27	And say, Thus saith the king, Put this fellow in the prison, and feed him with bread of affliction and with water of affliction, until I come in peace.
1 Kings 22:28	And Micaiah said, If thou return at all in peace, the LORD hath not spoken by me. And he said, Hearken, O people, every one of you.
1 Kings 22:29	So the king of Israel and Jehoshaphat the king of Judah went up to Ramothgilead.
1 Kings 22:30	And the king of Israel said unto Jehoshaphat, I will disguise myself, and enter into the battle; but put thou on thy robes. And the king of Israel disguised himself, and went into the battle.
1 Kings 22:31	But the king of Syria commanded his thirty and two captains that had rule over his chariots, saying, Fight neither with small nor great, save only with the king of Israel.
1 Kings 22:32	And it came to pass, when the captains of the chariots saw Jehoshaphat, that they said, Surely it is the king of Israel. And they turned aside to fight against him: and Jehoshaphat cried out.
1 Kings 22:33	And it came to pass, when the captains of the chariots perceived that it was not the king of Israel, that they turned back from pursuing him.
1 Kings 22:34	And a certain man drew a bow at a venture, and smote the king of Israel between the joints of the harness: wherefore he said unto the driver of his chariot, Turn thine hand, and carry me out of the host; for I am wounded.
1 Kings 22:35	And the battle increased that day: and the king was stayed up in his chariot against the Syrians, and died at even: and the blood ran out of the wound into the midst of the chariot.
1 Kings 22:36	And there went a proclamation throughout the host about the going down of the sun, saying, Every man to his city, and every man to his own country.
1 Kings 22:37	So the king died, and was brought to Samaria; and they buried the king in Samaria.
1 Kings 22:38	And one washed the chariot in the pool of Samaria; and the dogs licked up his blood; and they washed his armor; according unto the word of the LORD which he spake.
1 Kings 22:39	Now the rest of the acts of Ahab, and all that he did, and the ivory house which he made, and all the cities that he built, are they not written in the book of the chronicles of the kings of Israel?
1 Kings 22:40	So Ahab slept with his fathers; and Ahaziah his son reigned in his stead.
1 Kings 22:41	And Jehoshaphat the son of Asa began to reign over Judah in the fourth year of Ahab king of Israel.
1 Kings 22:42	Jehoshaphat was thirty and five years old when he began to reign; and he reigned twenty and five years in Jerusalem. And his mother's name was Azubah the daughter of Shilhi.
