1 Chronicles 15:10	Of the sons of Uzziel; Amminadab the chief, and his brethren an hundred and twelve.
1 Chronicles 15:11	And David called for Zadok and Abiathar the priests, and for the Levites, for Uriel, Asaiah, and Joel, Shemaiah, and Eliel, and Amminadab,
1 Chronicles 15:12	And said unto them, Ye are the chief of the fathers of the Levites: sanctify yourselves, both ye and your brethren, that ye may bring up the ark of the LORD God of Israel unto the place that I have prepared for it.
1 Chronicles 15:13	For because ye did it not at the first, the LORD our God made a breach upon us, for that we sought him not after the due order.
1 Chronicles 15:14	So the priests and the Levites sanctified themselves to bring up the ark of the LORD God of Israel.
1 Chronicles 15:15	And the children of the Levites bare the ark of God upon their shoulders with the staves thereon, as Moses commanded according to the word of the LORD.
1 Chronicles 15:16	And David spake to the chief of the Levites to appoint their brethren to be the singers with instruments of music, psalteries and harps and cymbals, sounding, by lifting up the voice with joy.
1 Chronicles 15:17	So the Levites appointed Heman the son of Joel; and of his brethren, Asaph the son of Berechiah; and of the sons of Merari their brethren, Ethan the son of Kushaiah;
1 Chronicles 15:18	And with them their brethren of the second degree, Zechariah, Ben, and Jaaziel, and Shemiramoth, and Jehiel, and Unni, Eliab, and Benaiah, and Maaseiah, and Mattithiah, and Elipheleh, and Mikneiah, and Obededom, and Jeiel, the porters.
1 Chronicles 15:19	So the singers, Heman, Asaph, and Ethan, were appointed to sound with cymbals of brass;
1 Chronicles 15:20	And Zechariah, and Aziel, and Shemiramoth, and Jehiel, and Unni, and Eliab, and Maaseiah, and Benaiah, with psalteries on Alamoth;
1 Chronicles 15:21	And Mattithiah, and Elipheleh, and Mikneiah, and Obededom, and Jeiel, and Azaziah, with harps on the Sheminith to excel.
1 Chronicles 15:22	And Chenaniah, chief of the Levites, was for song: he instructed about the song, because he was skillful.
1 Chronicles 15:23	And Berechiah and Elkanah were doorkeepers for the ark.
1 Chronicles 15:24	And Shebaniah, and Jehoshaphat, and Nethaneel, and Amasai, and Zechariah, and Benaiah, and Eliezer, the priests, did blow with the trumpets before the ark of God: and Obededom and Jehiah were doorkeepers for the ark.
1 Chronicles 15:25	So David, and the elders of Israel, and the captains over thousands, went to bring up the ark of the covenant of the LORD out of the house of Obededom with joy.
1 Chronicles 15:26	And it came to pass, when God helped the Levites that bare the ark of the covenant of the LORD, that they offered seven bullocks and seven rams.
1 Chronicles 15:27	And David was clothed with a robe of fine linen, and all the Levites that bare the ark, and the singers, and Chenaniah the master of the song with the singers: David also had upon him an ephod of linen.
1 Chronicles 15:28	Thus all Israel brought up the ark of the covenant of the LORD with shouting, and with sound of the cornet, and with trumpets, and with cymbals, making a noise with psalteries and harps.
1 Chronicles 15:29	And it came to pass, as the ark of the covenant of the LORD came to the city of David, that Michal, the daughter of Saul looking out at a window saw king David dancing and playing: and she despised him in her heart.
1 Chronicles 16:1	So they brought the ark of God, and set it in the midst of the tent that David had pitched for it: and they offered burnt sacrifices and peace offerings before God.
1 Chronicles 16:2	And when David had made an end of offering the burnt offerings and the peace offerings, he blessed the people in the name of the LORD.
1 Chronicles 16:3	And he dealt to every one of Israel, both man and woman, to every one a loaf of bread, and a good piece of flesh, and a flagon of wine.
1 Chronicles 16:4	And he appointed certain of the Levites to minister before the ark of the LORD, and to record, and to thank and praise the LORD God of Israel:
1 Chronicles 16:5	Asaph the chief, and next to him Zechariah, Jeiel, and Shemiramoth, and Jehiel, and Mattithiah, and Eliab, and Benaiah, and Obededom: and Jeiel with psalteries and with harps; but Asaph made a sound with cymbals;
1 Chronicles 16:6	Benaiah also and Jahaziel the priests with trumpets continually before the ark of the covenant of God.
1 Chronicles 16:7	Then on that day David delivered first this psalm to thank the LORD into the hand of Asaph and his brethren.
1 Chronicles 16:8	Give thanks unto the LORD, call upon his name, make known his deeds among the people.
1 Chronicles 16:9	Sing unto him, sing psalms unto him, talk ye of all his wondrous works.
1 Chronicles 16:10	Glory ye in his holy name: let the heart of them rejoice that seek the LORD.
1 Chronicles 16:11	Seek the LORD and his strength, seek his face continually.
1 Chronicles 16:12	Remember his marvelous works that he hath done, his wonders, and the judgments of his mouth;
1 Chronicles 16:13	O ye seed of Israel his servant, ye children of Jacob, his chosen ones.
1 Chronicles 16:14	He is the LORD our God; his judgments are in all the earth.
1 Chronicles 16:15	Be ye mindful always of his covenant; the word which he commanded to a thousand generations;
1 Chronicles 16:16	Even of the covenant which he made with Abraham, and of his oath unto Isaac;
1 Chronicles 16:17	And hath confirmed the same to Jacob for a law, and to Israel for an everlasting covenant,
1 Chronicles 16:18	Saying, Unto thee will I give the land of Canaan, the lot of your inheritance;
1 Chronicles 16:19	When ye were but few, even a few, and strangers in it.
1 Chronicles 16:20	And when they went from nation to nation, and from one kingdom to another people;
1 Chronicles 16:21	He suffered no man to do them wrong: yea, he reproved kings for their sakes,
1 Chronicles 16:22	Saying, Touch not mine anointed, and do my prophets no harm.
1 Chronicles 16:23	Sing unto the LORD, all the earth; show forth from day to day his salvation.
1 Chronicles 16:24	Declare his glory among the heathen; his marvelous works among all nations.
1 Chronicles 16:25	For great is the LORD, and greatly to be praised: he also is to be feared above all gods.
1 Chronicles 16:26	For all the gods of the people are idols: but the LORD made the heavens.
1 Chronicles 16:27	Glory and honor are in his presence; strength and gladness are in his place.
1 Chronicles 16:28	Give unto the LORD, ye kindred of the people, give unto the LORD glory and strength.
1 Chronicles 16:29	Give unto the LORD the glory due unto his name: bring an offering, and come before him: worship the LORD in the beauty of holiness.
1 Chronicles 16:30	Fear before him, all the earth: the world also shall be stable, that it be not moved.
