1 Chronicles 23:18	Of the sons of Izhar; Shelomith the chief.
1 Chronicles 23:19	Of the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, and Jekameam the fourth.
1 Chronicles 23:20	Of the sons of Uzziel; Micah the first and Jesiah the second.
1 Chronicles 23:21	The sons of Merari; Mahli, and Mushi. The sons of Mahli; Eleazar, and Kish.
1 Chronicles 23:22	And Eleazar died, and had no sons, but daughters: and their brethren the sons of Kish took them.
1 Chronicles 23:23	The sons of Mushi; Mahli, and Eder, and Jeremoth, three.
1 Chronicles 23:24	These were the sons of Levi after the house of their fathers; even the chief of the fathers, as they were counted by number of names by their polls, that did the work for the service of the house of the LORD, from the age of twenty years and upward.
1 Chronicles 23:25	For David said, The LORD God of Israel hath given rest unto his people, that they may dwell in Jerusalem for ever:
1 Chronicles 23:26	And also unto the Levites; they shall no more carry the tabernacle, nor any vessels of it for the service thereof.
1 Chronicles 23:27	For by the last words of David the Levites were numbered from twenty years old and above:
1 Chronicles 23:28	Because their office was to wait on the sons of Aaron for the service of the house of the LORD, in the courts, and in the chambers, and in the purifying of all holy things, and the work of the service of the house of God;
1 Chronicles 23:29	Both for the shewbread, and for the fine flour for meat offering, and for the unleavened cakes, and for that which is baked in the pan, and for that which is fried, and for all manner of measure and size;
1 Chronicles 23:30	And to stand every morning to thank and praise the LORD, and likewise at even:
1 Chronicles 23:31	And to offer all burnt sacrifices unto the LORD in the sabbaths, in the new moons, and on the set feasts, by number, according to the order commanded unto them, continually before the LORD:
1 Chronicles 23:32	And that they should keep the charge of the tabernacle of the congregation, and the charge of the holy place, and the charge of the sons of Aaron their brethren, in the service of the house of the LORD.
1 Chronicles 24:1	Now these are the divisions of the sons of Aaron. The sons of Aaron; Nadab, and Abihu, Eleazar, and Ithamar.
1 Chronicles 24:2	But Nadab and Abihu died before their father, and had no children: therefore Eleazar and Ithamar executed the priest's office.
1 Chronicles 24:3	And David distributed them, both Zadok of the sons of Eleazar, and Ahimelech of the sons of Ithamar, according to their offices in their service.
1 Chronicles 24:4	And there were more chief men found of the sons of Eleazar than of the sons of Ithamar, and thus were they divided. Among the sons of Eleazar there were sixteen chief men of the house of their fathers, and eight among the sons of Ithamar according to the house of their fathers.
1 Chronicles 24:5	Thus were they divided by lot, one sort with another; for the governors of the sanctuary, and governors of the house of God, were of the sons of Eleazar, and of the sons of Ithamar.
1 Chronicles 24:6	And Shemaiah the son of Nethaneel the scribe, one of the Levites, wrote them before the king, and the princes, and Zadok the priest, and Ahimelech the son of Abiathar, and before the chief of the fathers of the priests and Levites: one principal household being taken for Eleazar, and one taken for Ithamar.
1 Chronicles 24:7	Now the first lot came forth to Jehoiarib, the second to Jedaiah,
1 Chronicles 24:8	The third to Harim, the fourth to Seorim,
1 Chronicles 24:9	The fifth to Malchijah, the sixth to Mijamin,
1 Chronicles 24:10	The seventh to Hakkoz, the eighth to Abijah,
1 Chronicles 24:11	The ninth to Jeshuah, the tenth to Shecaniah,
1 Chronicles 24:12	The eleventh to Eliashib, the twelfth to Jakim,
1 Chronicles 24:13	The thirteenth to Huppah, the fourteenth to Jeshebeab,
1 Chronicles 24:14	The fifteenth to Bilgah, the sixteenth to Immer,
1 Chronicles 24:15	The seventeenth to Hezir, the eighteenth to Aphses,
1 Chronicles 24:16	The nineteenth to Pethahiah, the twentieth to Jehezekel,
1 Chronicles 24:17	The one and twentieth to Jachin, the two and twentieth to Gamul,
1 Chronicles 24:18	The three and twentieth to Delaiah, the four and twentieth to Maaziah.
1 Chronicles 24:19	These were the orderings of them in their service to come into the house of the LORD, according to their manner, under Aaron their father, as the LORD God of Israel had commanded him.
1 Chronicles 24:20	And the rest of the sons of Levi were these: Of the sons of Amram; Shubael: of the sons of Shubael; Jehdeiah.
1 Chronicles 24:21	Concerning Rehabiah: of the sons of Rehabiah, the first was Isshiah.
1 Chronicles 24:22	Of the Izharites; Shelomoth: of the sons of Shelomoth; Jahath.
1 Chronicles 24:23	And the sons of Hebron; Jeriah the first, Amariah the second, Jahaziel the third, Jekameam the fourth.
1 Chronicles 24:24	Of the sons of Uzziel; Michah: of the sons of Michah; Shamir.
1 Chronicles 24:25	The brother of Michah was Isshiah: of the sons of Isshiah; Zechariah.
1 Chronicles 24:26	The sons of Merari were Mahli and Mushi: the sons of Jaaziah; Beno.
1 Chronicles 24:27	The sons of Merari by Jaaziah; Beno, and Shoham, and Zaccur, and Ibri.
1 Chronicles 24:28	Of Mahli came Eleazar, who had no sons.
