Ezra 2:24	The children of Azmaveth, forty and two.
Ezra 2:25	The children of Kirjatharim, Chephirah, and Beeroth, seven hundred and forty and three.
Ezra 2:26	The children of Ramah and Gaba, six hundred twenty and one.
Ezra 2:27	The men of Michmas, an hundred twenty and two.
Ezra 2:28	The men of Bethel and Ai, two hundred twenty and three.
Ezra 2:29	The children of Nebo, fifty and two.
Ezra 2:30	The children of Magbish, an hundred fifty and six.
Ezra 2:31	The children of the other Elam, a thousand two hundred fifty and four.
Ezra 2:32	The children of Harim, three hundred and twenty.
Ezra 2:33	The children of Lod, Hadid, and Ono, seven hundred twenty and five.
Ezra 2:34	The children of Jericho, three hundred forty and five.
Ezra 2:35	The children of Senaah, three thousand and six hundred and thirty.
Ezra 2:36	The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
Ezra 2:37	The children of Immer, a thousand fifty and two.
Ezra 2:38	The children of Pashur, a thousand two hundred forty and seven.
Ezra 2:39	The children of Harim, a thousand and seventeen.
Ezra 2:40	The Levites: the children of Jeshua and Kadmiel, of the children of Hodaviah, seventy and four.
Ezra 2:41	The singers: the children of Asaph, an hundred twenty and eight.
Ezra 2:42	The children of the porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, in all an hundred thirty and nine.
Ezra 2:43	The Nethinims: the children of Ziha, the children of Hasupha, the children of Tabbaoth,
Ezra 2:44	The children of Keros, the children of Siaha, the children of Padon,
Ezra 2:45	The children of Lebanah, the children of Hagabah, the children of Akkub,
Ezra 2:46	The children of Hagab, the children of Shalmai, the children of Hanan,
Ezra 2:47	The children of Giddel, the children of Gahar, the children of Reaiah,
Ezra 2:48	The children of Rezin, the children of Nekoda, the children of Gazzam,
Ezra 2:49	The children of Uzza, the children of Paseah, the children of Besai,
Ezra 2:50	The children of Asnah, the children of Mehunim, the children of Nephusim,
Ezra 2:51	The children of Bakbuk, the children of Hakupha, the children of Harhur,
Ezra 2:52	The children of Bazluth, the children of Mehida, the children of Harsha,
Ezra 2:53	The children of Barkos, the children of Sisera, the children of Thamah,
Ezra 2:54	The children of Neziah, the children of Hatipha.
Ezra 2:55	The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Peruda,
Ezra 2:56	The children of Jaalah, the children of Darkon, the children of Giddel,
Ezra 2:57	The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Ami.
Ezra 2:58	All the Nethinims, and the children of Solomon's servants, were three hundred ninety and two.
Ezra 2:59	And these were they which went up from Telmelah, Telharsa, Cherub, Addan, and Immer: but they could not shew their father's house, and their seed, whether they were of Israel:
Ezra 2:60	The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred fifty and two.
Ezra 2:61	And of the children of the priests: the children of Habaiah, the children of Koz, the children of Barzillai; which took a wife of the daughters of Barzillai the Gileadite, and was called after their name:
Ezra 2:62	These sought their register among those that were reckoned by genealogy, but they were not found: therefore were they, as polluted, put from the priesthood.
Ezra 2:63	And the Tirshatha said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and with Thummim.
Ezra 2:64	The whole congregation together was forty and two thousand three hundred and threescore,
Ezra 2:65	Beside their servants and their maids, of whom there were seven thousand three hundred thirty and seven: and there were among them two hundred singing men and singing women.
Ezra 2:66	Their horses were seven hundred thirty and six; their mules, two hundred forty and five;
Ezra 2:67	Their camels, four hundred thirty and five; their asses, six thousand seven hundred and twenty.
Ezra 2:68	And some of the chief of the fathers, when they came to the house of the LORD which is at Jerusalem, offered freely for the house of God to set it up in his place:
Ezra 2:69	They gave after their ability unto the treasure of the work threescore and one thousand drams of gold, and five thousand pound of silver, and one hundred priests' garments.
Ezra 2:70	So the priests, and the Levites, and some of the people, and the singers, and the porters, and the Nethinims, dwelt in their cities, and all Israel in their cities.
Ezra 3:1	And when the seventh month was come, and the children of Israel were in the cities, the people gathered themselves together as one man to Jerusalem.
Ezra 3:2	Then stood up Jeshua the son of Jozadak, and his brethren the priests, and Zerubbabel the son of Shealtiel, and his brethren, and builded the altar of the God of Israel, to offer burnt offerings thereon, as it is written in the law of Moses the man of God.
Ezra 3:3	And they set the altar upon his bases; for fear was upon them because of the people of those countries: and they offered burnt offerings thereon unto the LORD, even burnt offerings morning and evening.
