Psalms 16:9	Therefore my heart is glad, and my glory rejoiceth: my flesh also shall rest in hope.
Psalms 16:10	For thou wilt not leave my soul in hell; neither wilt thou suffer thine Holy One to see corruption.
Psalms 16:11	Thou wilt shew me the path of life: in thy presence is fulness of joy; at thy right hand there are pleasures for evermore.
Psalms 17:1	Hear the right, O LORD, attend unto my cry, give ear unto my prayer, that goeth not out of feigned lips.
Psalms 17:2	Let my sentence come forth from thy presence; let thine eyes behold the things that are equal.
Psalms 17:3	Thou hast proved mine heart; thou hast visited me in the night; thou hast tried me, and shalt find nothing; I am purposed that my mouth shall not transgress.
Psalms 17:4	Concerning the works of men, by the word of thy lips I have kept me from the paths of the destroyer.
Psalms 17:5	Hold up my goings in thy paths, that my footsteps slip not.
Psalms 17:6	I have called upon thee, for thou wilt hear me, O God: incline thine ear unto me, and hear my speech.
Psalms 17:7	Shew thy marvellous lovingkindness, O thou that savest by thy right hand them which put their trust in thee from those that rise up against them.
Psalms 17:8	Keep me as the apple of the eye, hide me under the shadow of thy wings,
Psalms 17:9	From the wicked that oppress me, from my deadly enemies, who compass me about.
Psalms 17:10	They are inclosed in their own fat: with their mouth they speak proudly.
Psalms 17:11	They have now compassed us in our steps: they have set their eyes bowing down to the earth;
Psalms 17:12	Like as a lion that is greedy of his prey, and as it were a young lion lurking in secret places.
Psalms 17:13	Arise, O LORD, disappoint him, cast him down: deliver my soul from the wicked, which is thy sword:
Psalms 17:14	From men which are thy hand, O LORD, from men of the world, which have their portion in this life, and whose belly thou fillest with thy hid treasure: they are full of children, and leave the rest of their substance to their babes.
Psalms 17:15	As for me, I will behold thy face in righteousness: I shall be satisfied, when I awake, with thy likeness.
Psalms 18:1	I will love thee, O LORD, my strength.
Psalms 18:2	The LORD is my rock, and my fortress, and my deliverer; my God, my strength, in whom I will trust; my buckler, and the horn of my salvation, and my high tower.
Psalms 18:3	I will call upon the LORD, who is worthy to be praised: so shall I be saved from mine enemies.
Psalms 18:4	The sorrows of death compassed me, and the floods of ungodly men made me afraid.
Psalms 18:5	The sorrows of hell compassed me about: the snares of death prevented me.
Psalms 18:6	In my distress I called upon the LORD, and cried unto my God: he heard my voice out of his temple, and my cry came before him, even into his ears.
Psalms 18:7	Then the earth shook and trembled; the foundations also of the hills moved and were shaken, because he was wroth.
Psalms 18:8	There went up a smoke out of his nostrils, and fire out of his mouth devoured: coals were kindled by it.
Psalms 18:9	He bowed the heavens also, and came down: and darkness was under his feet.
Psalms 18:10	And he rode upon a cherub, and did fly: yea, he did fly upon the wings of the wind.
Psalms 18:11	He made darkness his secret place; his pavilion round about him were dark waters and thick clouds of the skies.
Psalms 18:12	At the brightness that was before him his thick clouds passed, hail stones and coals of fire.
Psalms 18:13	The LORD also thundered in the heavens, and the Highest gave his voice; hail stones and coals of fire.
Psalms 18:14	Yea, he sent out his arrows, and scattered them; and he shot out lightnings, and discomfited them.
Psalms 18:15	Then the channels of waters were seen, and the foundations of the world were discovered at thy rebuke, O LORD, at the blast of the breath of thy nostrils.
Psalms 18:16	He sent from above, he took me, he drew me out of many waters.
Psalms 18:17	He delivered me from my strong enemy, and from them which hated me: for they were too strong for me.
Psalms 18:18	They prevented me in the day of my calamity: but the LORD was my stay.
Psalms 18:19	He brought me forth also into a large place; he delivered me, because he delighted in me.
Psalms 18:20	The LORD rewarded me according to my righteousness; according to the cleanness of my hands hath he recompensed me.
Psalms 18:21	For I have kept the ways of the LORD, and have not wickedly departed from my God.
Psalms 18:22	For all his judgments were before me, and I did not put away his statutes from me.
Psalms 18:23	I was also upright before him, and I kept myself from mine iniquity.
Psalms 18:24	Therefore hath the LORD recompensed me according to my righteousness, according to the cleanness of my hands in his eyesight.
Psalms 18:25	With the merciful thou wilt shew thyself merciful; with an upright man thou wilt shew thyself upright;
Psalms 18:26	With the pure thou wilt shew thyself pure; and with the froward thou wilt shew thyself froward.
Psalms 18:27	For thou wilt save the afflicted people; but wilt bring down high looks.
Psalms 18:28	For thou wilt light my candle: the LORD my God will enlighten my darkness.
Psalms 18:29	For by thee I have run through a troop; and by my God have I leaped over a wall.
Psalms 18:30	As for God, his way is perfect: the word of the LORD is tried: he is a buckler to all those that trust in him.
Psalms 18:31	For who is God save the LORD? or who is a rock save our God?
Psalms 18:32	It is God that girdeth me with strength, and maketh my way perfect.
