Psalms 49:3	My mouth shall speak of wisdom; and the meditation of my heart shall be of understanding.
Psalms 49:4	I will incline mine ear to a parable: I will open my dark saying upon the harp.
Psalms 49:5	Wherefore should I fear in the days of evil, when the iniquity of my heels shall compass me about?
Psalms 49:6	They that trust in their wealth, and boast themselves in the multitude of their riches;
Psalms 49:7	None of them can by any means redeem his brother, nor give to God a ransom for him:
Psalms 49:8	(For the redemption of their soul is precious, and it ceaseth for ever:)
Psalms 49:9	That he should still live for ever, and not see corruption.
Psalms 49:10	For he seeth that wise men die, likewise the fool and the brutish person perish, and leave their wealth to others.
Psalms 49:11	Their inward thought is, that their houses shall continue for ever, and their dwelling places to all generations; they call their lands after their own names.
Psalms 49:12	Nevertheless man being in honour abideth not: he is like the beasts that perish.
Psalms 49:13	This their way is their folly: yet their posterity approve their sayings. Selah.
Psalms 49:14	Like sheep they are laid in the grave; death shall feed on them; and the upright shall have dominion over them in the morning; and their beauty shall consume in the grave from their dwelling.
Psalms 49:15	But God will redeem my soul from the power of the grave: for he shall receive me. Selah.
Psalms 49:16	Be not thou afraid when one is made rich, when the glory of his house is increased;
Psalms 49:17	For when he dieth he shall carry nothing away: his glory shall not descend after him.
Psalms 49:18	Though while he lived he blessed his soul: and men will praise thee, when thou doest well to thyself.
Psalms 49:19	He shall go to the generation of his fathers; they shall never see light.
Psalms 49:20	Man that is in honour, and understandeth not, is like the beasts that perish.
Psalms 50:1	The mighty God, even the LORD, hath spoken, and called the earth from the rising of the sun unto the going down thereof.
Psalms 50:2	Out of Zion, the perfection of beauty, God hath shined.
Psalms 50:3	Our God shall come, and shall not keep silence: a fire shall devour before him, and it shall be very tempestuous round about him.
Psalms 50:4	He shall call to the heavens from above, and to the earth, that he may judge his people.
Psalms 50:5	Gather my saints together unto me; those that have made a covenant with me by sacrifice.
Psalms 50:6	And the heavens shall declare his righteousness: for God is judge himself. Selah.
Psalms 50:7	Hear, O my people, and I will speak; O Israel, and I will testify against thee: I am God, even thy God.
Psalms 50:8	I will not reprove thee for thy sacrifices or thy burnt offerings, to have been continually before me.
Psalms 50:9	I will take no bullock out of thy house, nor he goats out of thy folds.
Psalms 50:10	For every beast of the forest is mine, and the cattle upon a thousand hills.
Psalms 50:11	I know all the fowls of the mountains: and the wild beasts of the field are mine.
Psalms 50:12	If I were hungry, I would not tell thee: for the world is mine, and the fulness thereof.
Psalms 50:13	Will I eat the flesh of bulls, or drink the blood of goats?
Psalms 50:14	Offer unto God thanksgiving; and pay thy vows unto the most High:
Psalms 50:15	And call upon me in the day of trouble: I will deliver thee, and thou shalt glorify me.
Psalms 50:16	But unto the wicked God saith, What hast thou to do to declare my statutes, or that thou shouldest take my covenant in thy mouth?
Psalms 50:17	Seeing thou hatest instruction, and casteth my words behind thee.
Psalms 50:18	When thou sawest a thief, then thou consentedst with him, and hast been partaker with adulterers.
Psalms 50:19	Thou givest thy mouth to evil, and thy tongue frameth deceit.
Psalms 50:20	Thou sittest and speakest against thy brother; thou slanderest thine own mother's son.
Psalms 50:21	These things hast thou done, and I kept silence; thou thoughtest that I was altogether such an one as thyself: but I will reprove thee, and set them in order before thine eyes.
Psalms 50:22	Now consider this, ye that forget God, lest I tear you in pieces, and there be none to deliver.
Psalms 50:23	Whoso offereth praise glorifieth me: and to him that ordereth his conversation aright will I shew the salvation of God.
Psalms 51:1	Have mercy upon me, O God, according to thy lovingkindness: according unto the multitude of thy tender mercies blot out my transgressions.
Psalms 51:2	Wash me throughly from mine iniquity, and cleanse me from my sin.
Psalms 51:3	For I acknowledge my transgressions: and my sin is ever before me.
Psalms 51:4	Against thee, thee only, have I sinned, and done this evil in thy sight: that thou mightest be justified when thou speakest, and be clear when thou judgest.
Psalms 51:5	Behold, I was shapen in iniquity; and in sin did my mother conceive me.
Psalms 51:6	Behold, thou desirest truth in the inward parts: and in the hidden part thou shalt make me to know wisdom.
Psalms 51:7	Purge me with hyssop, and I shall be clean: wash me, and I shall be whiter than snow.
Psalms 51:8	Make me to hear joy and gladness; that the bones which thou hast broken may rejoice.
Psalms 51:9	Hide thy face from my sins, and blot out all mine iniquities.
