Psalms 123:3	Have mercy upon us, O LORD, have mercy upon us: for we are exceedingly filled with contempt.
Psalms 123:4	Our soul is exceedingly filled with the scorning of those that are at ease, and with the contempt of the proud.
Psalms 124:1	If it had not been the LORD who was on our side, now may Israel say;
Psalms 124:2	If it had not been the LORD who was on our side, when men rose up against us:
Psalms 124:3	Then they had swallowed us up quick, when their wrath was kindled against us:
Psalms 124:4	Then the waters had overwhelmed us, the stream had gone over our soul:
Psalms 124:5	Then the proud waters had gone over our soul.
Psalms 124:6	Blessed be the LORD, who hath not given us as a prey to their teeth.
Psalms 124:7	Our soul is escaped as a bird out of the snare of the fowlers: the snare is broken, and we are escaped.
Psalms 124:8	Our help is in the name of the LORD, who made heaven and earth.
Psalms 125:1	They that trust in the LORD shall be as mount Zion, which cannot be removed, but abideth for ever.
Psalms 125:2	As the mountains are round about Jerusalem, so the LORD is round about his people from henceforth even for ever.
Psalms 125:3	For the rod of the wicked shall not rest upon the lot of the righteous; lest the righteous put forth their hands unto iniquity.
Psalms 125:4	Do good, O LORD, unto those that be good, and to them that are upright in their hearts.
Psalms 125:5	As for such as turn aside unto their crooked ways, the LORD shall lead them forth with the workers of iniquity: but peace shall be upon Israel.
Psalms 126:1	When the LORD turned again the captivity of Zion, we were like them that dream.
Psalms 126:2	Then was our mouth filled with laughter, and our tongue with singing: then said they among the heathen, The LORD hath done great things for them.
Psalms 126:3	The LORD hath done great things for us; whereof we are glad.
Psalms 126:4	Turn again our captivity, O LORD, as the streams in the south.
Psalms 126:5	They that sow in tears shall reap in joy.
Psalms 126:6	He that goeth forth and weepeth, bearing precious seed, shall doubtless come again with rejoicing, bringing his sheaves with him.
Psalms 127:1	Except the LORD build the house, they labour in vain that build it: except the LORD keep the city, the watchman waketh but in vain.
Psalms 127:2	It is vain for you to rise up early, to sit up late, to eat the bread of sorrows: for so he giveth his beloved sleep.
Psalms 127:3	Lo, children are an heritage of the LORD: and the fruit of the womb is his reward.
Psalms 127:4	As arrows are in the hand of a mighty man; so are children of the youth.
Psalms 127:5	Happy is the man that hath his quiver full of them: they shall not be ashamed, but they shall speak with the enemies in the gate.
Psalms 128:1	Blessed is every one that feareth the LORD; that walketh in his ways.
Psalms 128:2	For thou shalt eat the labour of thine hands: happy shalt thou be, and it shall be well with thee.
Psalms 128:3	Thy wife shall be as a fruitful vine by the sides of thine house: thy children like olive plants round about thy table.
Psalms 128:4	Behold, that thus shall the man be blessed that feareth the LORD.
Psalms 128:5	The LORD shall bless thee out of Zion: and thou shalt see the good of Jerusalem all the days of thy life.
Psalms 128:6	Yea, thou shalt see thy children's children, and peace upon Israel.
Psalms 129:1	Many a time have they afflicted me from my youth, may Israel now say:
Psalms 129:2	Many a time have they afflicted me from my youth: yet they have not prevailed against me.
Psalms 129:3	The plowers plowed upon my back: they made long their furrows.
Psalms 129:4	The LORD is righteous: he hath cut asunder the cords of the wicked.
Psalms 129:5	Let them all be confounded and turned back that hate Zion.
Psalms 129:6	Let them be as the grass upon the housetops, which withereth afore it groweth up:
Psalms 129:7	Wherewith the mower filleth not his hand; nor he that bindeth sheaves his bosom.
Psalms 129:8	Neither do they which go by say, The blessing of the LORD be upon you: we bless you in the name of the LORD.
Psalms 130:1	Out of the depths have I cried unto thee, O LORD.
Psalms 130:2	Lord, hear my voice: let thine ears be attentive to the voice of my supplications.
Psalms 130:3	If thou, LORD, shouldest mark iniquities, O Lord, who shall stand?
Psalms 130:4	But there is forgiveness with thee, that thou mayest be feared.
Psalms 130:5	I wait for the LORD, my soul doth wait, and in his word do I hope.
Psalms 130:6	My soul waiteth for the Lord more than they that watch for the morning: I say, more than they that watch for the morning.
Psalms 130:7	Let Israel hope in the LORD: for with the LORD there is mercy, and with him is plenteous redemption.
Psalms 130:8	And he shall redeem Israel from all his iniquities.
Psalms 131:1	Lord, my heart is not haughty, nor mine eyes lofty: neither do I exercise myself in great matters, or in things too high for me.
Psalms 131:2	Surely I have behaved and quieted myself, as a child that is weaned of his mother: my soul is even as a weaned child.
