Ezekiel 12:21	And the word of the LORD came unto me, saying,
Ezekiel 12:22	Son of man, what is that proverb that ye have in the land of Israel, saying, The days are prolonged, and every vision faileth?
Ezekiel 12:23	Tell them therefore, Thus saith the Lord GOD; I will make this proverb to cease, and they shall no more use it as a proverb in Israel; but say unto them, The days are at hand, and the effect of every vision.
Ezekiel 12:24	For there shall be no more any vain vision nor flattering divination within the house of Israel.
Ezekiel 12:25	For I am the LORD: I will speak, and the word that I shall speak shall come to pass; it shall be no more prolonged: for in your days, O rebellious house, will I say the word, and will perform it, saith the Lord GOD.
Ezekiel 12:26	Again the word of the LORD came to me, saying.
Ezekiel 12:27	Son of man, behold, they of the house of Israel say, The vision that he seeth is for many days to come, and he prophesieth of the times that are far off.
Ezekiel 12:28	Therefore say unto them, Thus saith the Lord GOD; There shall none of my words be prolonged any more, but the word which I have spoken shall be done, saith the Lord GOD.
Ezekiel 13:1	And the word of the LORD came unto me, saying,
Ezekiel 13:2	Son of man, prophesy against the prophets of Israel that prophesy, and say thou unto them that prophesy out of their own hearts, Hear ye the word of the LORD;
Ezekiel 13:3	Thus saith the Lord GOD; Woe unto the foolish prophets, that follow their own spirit, and have seen nothing!
Ezekiel 13:4	O Israel, thy prophets are like the foxes in the deserts.
Ezekiel 13:5	Ye have not gone up into the gaps, neither made up the hedge for the house of Israel to stand in the battle in the day of the LORD.
Ezekiel 13:6	They have seen vanity and lying divination, saying, The LORD saith: and the LORD hath not sent them: and they have made others to hope that they would confirm the word.
Ezekiel 13:7	Have ye not seen a vain vision, and have ye not spoken a lying divination, whereas ye say, The LORD saith it; albeit I have not spoken?
Ezekiel 13:8	Therefore thus saith the Lord GOD; Because ye have spoken vanity, and seen lies, therefore, behold, I am against you, saith the Lord GOD.
Ezekiel 13:9	And mine hand shall be upon the prophets that see vanity, and that divine lies: they shall not be in the assembly of my people, neither shall they be written in the writing of the house of Israel, neither shall they enter into the land of Israel; and ye shall know that I am the Lord GOD.
Ezekiel 13:10	Because, even because they have seduced my people, saying, Peace; and there was no peace; and one built up a wall, and, lo, others daubed it with untempered morter:
Ezekiel 13:11	Say unto them which daub it with untempered morter, that it shall fall: there shall be an overflowing shower; and ye, O great hailstones, shall fall; and a stormy wind shall rend it.
Ezekiel 13:12	Lo, when the wall is fallen, shall it not be said unto you, Where is the daubing wherewith ye have daubed it?
Ezekiel 13:13	Therefore thus saith the Lord GOD; I will even rend it with a stormy wind in my fury; and there shall be an overflowing shower in mine anger, and great hailstones in my fury to consume it.
Ezekiel 13:14	So will I break down the wall that ye have daubed with untempered morter, and bring it down to the ground, so that the foundation thereof shall be discovered, and it shall fall, and ye shall be consumed in the midst thereof: and ye shall know that I am the LORD.
Ezekiel 13:15	Thus will I accomplish my wrath upon the wall, and upon them that have daubed it with untempered morter, and will say unto you, The wall is no more, neither they that daubed it;
Ezekiel 13:16	To wit, the prophets of Israel which prophesy concerning Jerusalem, and which see visions of peace for her, and there is no peace, saith the Lord GOD.
Ezekiel 13:17	Likewise, thou son of man, set thy face against the daughters of thy people, which prophesy out of their own heart; and prophesy thou against them,
Ezekiel 13:18	And say, Thus saith the Lord GOD; Woe to the women that sew pillows to all armholes, and make kerchiefs upon the head of every stature to hunt souls! Will ye hunt the souls of my people, and will ye save the souls alive that come unto you?
Ezekiel 13:19	And will ye pollute me among my people for handfuls of barley and for pieces of bread, to slay the souls that should not die, and to save the souls alive that should not live, by your lying to my people that hear your lies?
