Leviticus 8:34	As he hath done this day, so the LORD hath commanded to do, to make an atonement for you.
Leviticus 8:35	Therefore shall ye abide at the door of the tabernacle of the congregation day and night seven days, and keep the charge of the LORD, that ye die not: for so I am commanded.
Leviticus 8:36	So Aaron and his sons did all things which the LORD commanded by the hand of Moses.
Leviticus 9:1	And it came to pass on the eighth day, that Moses called Aaron and his sons, and the elders of Israel;
Leviticus 9:2	And he said unto Aaron, Take thee a young calf for a sin offering, and a ram for a burnt offering, without blemish, and offer them before the LORD.
Leviticus 9:3	And unto the children of Israel thou shalt speak, saying, Take ye a kid of the goats for a sin offering; and a calf and a lamb, both of the first year, without blemish, for a burnt offering;
Leviticus 9:4	Also a bullock and a ram for peace offerings, to sacrifice before the LORD; and a meat offering mingled with oil: for to day the LORD will appear unto you.
Leviticus 9:5	And they brought that which Moses commanded before the tabernacle of the congregation: and all the congregation drew near and stood before the LORD.
Leviticus 9:6	And Moses said, This is the thing which the LORD commanded that ye should do: and the glory of the LORD shall appear unto you.
Leviticus 9:7	And Moses said unto Aaron, Go unto the altar, and offer thy sin offering, and thy burnt offering, and make an atonement for thyself, and for the people: and offer the offering of the people, and make an atonement for them; as the LORD commanded.
Leviticus 9:8	Aaron therefore went unto the altar, and slew the calf of the sin offering, which was for himself.
Leviticus 9:9	And the sons of Aaron brought the blood unto him: and he dipped his finger in the blood, and put it upon the horns of the altar, and poured out the blood at the bottom of the altar:
Leviticus 9:10	But the fat, and the kidneys, and the caul above the liver of the sin offering, he burnt upon the altar; as the LORD commanded Moses.
Leviticus 9:11	And the flesh and the hide he burnt with fire without the camp.
Leviticus 9:12	And he slew the burnt offering; and Aaron's sons presented unto him the blood, which he sprinkled round about upon the altar.
Leviticus 9:13	And they presented the burnt offering unto him, with the pieces thereof, and the head: and he burnt them upon the altar.
Leviticus 9:14	And he did wash the inwards and the legs, and burnt them upon the burnt offering on the altar.
Leviticus 9:15	And he brought the people's offering, and took the goat, which was the sin offering for the people, and slew it, and offered it for sin, as the first.
Leviticus 9:16	And he brought the burnt offering, and offered it according to the manner.
Leviticus 9:17	And he brought the meat offering, and took an handful thereof, and burnt it upon the altar, beside the burnt sacrifice of the morning.
Leviticus 9:18	He slew also the bullock and the ram for a sacrifice of peace offerings, which was for the people: and Aaron's sons presented unto him the blood, which he sprinkled upon the altar round about,
Leviticus 9:19	And the fat of the bullock and of the ram, the rump, and that which covereth the inwards, and the kidneys, and the caul above the liver:
Leviticus 9:20	And they put the fat upon the breasts, and he burnt the fat upon the altar:
Leviticus 9:21	And the breasts and the right shoulder Aaron waved for a wave offering before the LORD; as Moses commanded.
Leviticus 9:22	And Aaron lifted up his hand toward the people, and blessed them, and came down from offering of the sin offering, and the burnt offering, and peace offerings.
Leviticus 9:23	And Moses and Aaron went into the tabernacle of the congregation, and came out, and blessed the people: and the glory of the LORD appeared unto all the people.
Leviticus 9:24	And there came a fire out from before the LORD, and consumed upon the altar the burnt offering and the fat: which when all the people saw, they shouted, and fell on their faces.
Leviticus 10:1	And Nadab and Abihu, the sons of Aaron, took either of them his censer, and put fire therein, and put incense thereon, and offered strange fire before the LORD, which he commanded them not.
Leviticus 10:2	And there went out fire from the LORD, and devoured them, and they died before the LORD.
Leviticus 10:3	Then Moses said unto Aaron, This is it that the LORD spake, saying, I will be sanctified in them that come nigh me, and before all the people I will be glorified. And Aaron held his peace.
Leviticus 10:4	And Moses called Mishael and Elzaphan, the sons of Uzziel the uncle of Aaron, and said unto them, Come near, carry your brethren from before the sanctuary out of the camp.
Leviticus 10:5	So they went near, and carried them in their coats out of the camp; as Moses had said.
Leviticus 10:6	And Moses said unto Aaron, and unto Eleazar and unto Ithamar, his sons, Uncover not your heads, neither rend your clothes; lest ye die, and lest wrath come upon all the people: but let your brethren, the whole house of Israel, bewail the burning which the LORD hath kindled.
Leviticus 10:7	And ye shall not go out from the door of the tabernacle of the congregation, lest ye die: for the anointing oil of the LORD is upon you. And they did according to the word of Moses.
Leviticus 10:8	And the LORD spake unto Aaron, saying,
Leviticus 10:9	Do not drink wine nor strong drink, thou, nor thy sons with thee, when ye go into the tabernacle of the congregation, lest ye die: it shall be a statute for ever throughout your generations:
Leviticus 10:10	And that ye may put difference between holy and unholy, and between unclean and clean;
Leviticus 10:11	And that ye may teach the children of Israel all the statutes which the LORD hath spoken unto them by the hand of Moses.
Leviticus 10:12	And Moses spake unto Aaron, and unto Eleazar and unto Ithamar, his sons that were left, Take the meat offering that remaineth of the offerings of the LORD made by fire, and eat it without leaven beside the altar: for it is most holy:
Leviticus 10:13	And ye shall eat it in the holy place, because it is thy due, and thy sons' due, of the sacrifices of the LORD made by fire: for so I am commanded.
Leviticus 10:14	And the wave breast and heave shoulder shall ye eat in a clean place; thou, and thy sons, and thy daughters with thee: for they be thy due, and thy sons' due, which are given out of the sacrifices of peace offerings of the children of Israel.
Leviticus 10:15	The heave shoulder and the wave breast shall they bring with the offerings made by fire of the fat, to wave it for a wave offering before the LORD; and it shall be thine, and thy sons' with thee, by a statute for ever; as the LORD hath commanded.
Leviticus 10:16	And Moses diligently sought the goat of the sin offering, and, behold, it was burnt: and he was angry with Eleazar and Ithamar, the sons of Aaron which were left alive, saying,
