Numbers 10:13	And they first took their journey according to the commandment of the LORD by the hand of Moses.
Numbers 10:14	In the first place went the standard of the camp of the children of Judah according to their armies: and over his host was Nahshon the son of Amminadab.
Numbers 10:15	And over the host of the tribe of the children of Issachar was Nethaneel the son of Zuar.
Numbers 10:16	And over the host of the tribe of the children of Zebulun was Eliab the son of Helon.
Numbers 10:17	And the tabernacle was taken down; and the sons of Gershon and the sons of Merari set forward, bearing the tabernacle.
Numbers 10:18	And the standard of the camp of Reuben set forward according to their armies: and over his host was Elizur the son of Shedeur.
Numbers 10:19	And over the host of the tribe of the children of Simeon was Shelumiel the son of Zurishaddai.
Numbers 10:20	And over the host of the tribe of the children of Gad was Eliasaph the son of Deuel.
Numbers 10:21	And the Kohathites set forward, bearing the sanctuary: and the other did set up the tabernacle against they came.
Numbers 10:22	And the standard of the camp of the children of Ephraim set forward according to their armies: and over his host was Elishama the son of Ammihud.
Numbers 10:23	And over the host of the tribe of the children of Manasseh was Gamaliel the son of Pedahzur.
Numbers 10:24	And over the host of the tribe of the children of Benjamin was Abidan the son of Gideoni.
Numbers 10:25	And the standard of the camp of the children of Dan set forward, which was the rearward of all the camps throughout their hosts: and over his host was Ahiezer the son of Ammishaddai.
Numbers 10:26	And over the host of the tribe of the children of Asher was Pagiel the son of Ocran.
Numbers 10:27	And over the host of the tribe of the children of Naphtali was Ahira the son of Enan.
Numbers 10:28	Thus were the journeyings of the children of Israel according to their armies, when they set forward.
Numbers 10:29	And Moses said unto Hobab, the son of Raguel the Midianite, Moses' father in law, We are journeying unto the place of which the LORD said, I will give it you: come thou with us, and we will do thee good: for the LORD hath spoken good concerning Israel.
Numbers 10:30	And he said unto him, I will not go; but I will depart to mine own land, and to my kindred.
Numbers 10:31	And he said, Leave us not, I pray thee; forasmuch as thou knowest how we are to encamp in the wilderness, and thou mayest be to us instead of eyes.
Numbers 10:32	And it shall be, if thou go with us, yea, it shall be, that what goodness the LORD shall do unto us, the same will we do unto thee.
Numbers 10:33	And they departed from the mount of the LORD three days' journey: and the ark of the covenant of the LORD went before them in the three days' journey, to search out a resting place for them.
Numbers 10:34	And the cloud of the LORD was upon them by day, when they went out of the camp.
Numbers 10:35	And it came to pass, when the ark set forward, that Moses said, Rise up, LORD, and let thine enemies be scattered; and let them that hate thee flee before thee.
Numbers 10:36	And when it rested, he said, Return, O LORD, unto the many thousands of Israel.
Numbers 11:1	And when the people complained, it displeased the LORD: and the LORD heard it; and his anger was kindled; and the fire of the LORD burnt among them, and consumed them that were in the uttermost parts of the camp.
Numbers 11:2	And the people cried unto Moses; and when Moses prayed unto the LORD, the fire was quenched.
Numbers 11:3	And he called the name of the place Taberah: because the fire of the LORD burnt among them.
Numbers 11:4	And the mixed multitude that was among them fell a lusting: and the children of Israel also wept again, and said, Who shall give us flesh to eat?
Numbers 11:5	We remember the fish, which we did eat in Egypt freely; the cucumbers, and the melons, and the leeks, and the onions, and the garlic:
Numbers 11:6	But now our soul is dried away: there is nothing at all, beside this manna, before our eyes.
Numbers 11:7	And the manna was as coriander seed, and the color thereof as the color of bdellium.
Numbers 11:8	And the people went about, and gathered it, and ground it in mills, or beat it in a mortar, and baked it in pans, and made cakes of it: and the taste of it was as the taste of fresh oil.
Numbers 11:9	And when the dew fell upon the camp in the night, the manna fell upon it.
Numbers 11:10	Then Moses heard the people weep throughout their families, every man in the door of his tent: and the anger of the LORD was kindled greatly; Moses also was displeased.
Numbers 11:11	And Moses said unto the LORD, Wherefore hast thou afflicted thy servant? and wherefore have I not found favor in thy sight, that thou layest the burden of all this people upon me?
Numbers 11:12	Have I conceived all this people? have I begotten them, that thou shouldest say unto me, Carry them in thy bosom, as a nursing father beareth the sucking child, unto the land which thou swarest unto their fathers?
Numbers 11:13	Whence should I have flesh to give unto all this people? for they weep unto me, saying, Give us flesh, that we may eat.
Numbers 11:14	I am not able to bear all this people alone, because it is too heavy for me.
Numbers 11:15	And if thou deal thus with me, kill me, I pray thee, out of hand, if I have found favor in thy sight; and let me not see my wretchedness.
Numbers 11:16	And the LORD said unto Moses, Gather unto me seventy men of the elders of Israel, whom thou knowest to be the elders of the people, and officers over them; and bring them unto the tabernacle of the congregation, that they may stand there with thee.
Numbers 11:17	And I will come down and talk with thee there: and I will take of the spirit which is upon thee, and will put it upon them; and they shall bear the burden of the people with thee, that thou bear it not thyself alone.
Numbers 11:18	And say thou unto the people, Sanctify yourselves against to morrow, and ye shall eat flesh: for ye have wept in the ears of the LORD, saying, Who shall give us flesh to eat? for it was well with us in Egypt: therefore the LORD will give you flesh, and ye shall eat.
Numbers 11:19	Ye shall not eat one day, nor two days, nor five days, neither ten days, nor twenty days;
Numbers 11:20	But even a whole month, until it come out at your nostrils, and it be loathsome unto you: because that ye have despised the LORD which is among you, and have wept before him, saying, Why came we forth out of Egypt?
Numbers 11:21	And Moses said, The people, among whom I am, are six hundred thousand footmen; and thou hast said, I will give them flesh, that they may eat a whole month.
Numbers 11:22	Shall the flocks and the herds be slain for them, to suffice them? or shall all the fish of the sea be gathered together for them, to suffice them?
