1 Chronicles 6:47	The son of Mahli, the son of Mushi, the son of Merari, the son of Levi.
1 Chronicles 6:48	Their brethren also the Levites were appointed unto all manner of service of the tabernacle of the house of God.
1 Chronicles 6:49	But Aaron and his sons offered upon the altar of the burnt offering, and on the altar of incense, and were appointed for all the work of the place most holy, and to make an atonement for Israel, according to all that Moses the servant of God had commanded.
1 Chronicles 6:50	And these are the sons of Aaron; Eleazar his son, Phinehas his son, Abishua his son,
1 Chronicles 6:51	Bukki his son, Uzzi his son, Zerahiah his son,
1 Chronicles 6:52	Meraioth his son, Amariah his son, Ahitub his son,
1 Chronicles 6:53	Zadok his son, Ahimaaz his son.
1 Chronicles 6:54	Now these are their dwelling places throughout their castles in their coasts, of the sons of Aaron, of the families of the Kohathites: for theirs was the lot.
1 Chronicles 6:55	And they gave them Hebron in the land of Judah, and the suburbs thereof round about it.
1 Chronicles 6:56	But the fields of the city, and the villages thereof, they gave to Caleb the son of Jephunneh.
1 Chronicles 6:57	And to the sons of Aaron they gave the cities of Judah, namely, Hebron, the city of refuge, and Libnah with her suburbs, and Jattir, and Eshtemoa, with their suburbs,
1 Chronicles 6:58	And Hilen with her suburbs, Debir with her suburbs,
1 Chronicles 6:59	And Ashan with her suburbs, and Bethshemesh with her suburbs:
1 Chronicles 6:60	And out of the tribe of Benjamin; Geba with her suburbs, and Alemeth with her suburbs, and Anathoth with her suburbs. All their cities throughout their families were thirteen cities.
1 Chronicles 6:61	And unto the sons of Kohath, which were left of the family of that tribe, were cities given out of the half tribe, namely, out of the half tribe of Manasseh, by lot, ten cities.
1 Chronicles 6:62	And to the sons of Gershom throughout their families out of the tribe of Issachar, and out of the tribe of Asher, and out of the tribe of Naphtali, and out of the tribe of Manasseh in Bashan, thirteen cities.
1 Chronicles 6:63	Unto the sons of Merari were given by lot, throughout their families, out of the tribe of Reuben, and out of the tribe of Gad, and out of the tribe of Zebulun, twelve cities.
1 Chronicles 6:64	And the children of Israel gave to the Levites these cities with their suburbs.
1 Chronicles 6:65	And they gave by lot out of the tribe of the children of Judah, and out of the tribe of the children of Simeon, and out of the tribe of the children of Benjamin, these cities, which are called by their names.
1 Chronicles 6:66	And the residue of the families of the sons of Kohath had cities of their coasts out of the tribe of Ephraim.
1 Chronicles 6:67	And they gave unto them, of the cities of refuge, Shechem in mount Ephraim with her suburbs; they gave also Gezer with her suburbs,
1 Chronicles 6:68	And Jokmeam with her suburbs, and Bethhoron with her suburbs,
1 Chronicles 6:69	And Aijalon with her suburbs, and Gathrimmon with her suburbs:
1 Chronicles 6:70	And out of the half tribe of Manasseh; Aner with her suburbs, and Bileam with her suburbs, for the family of the remnant of the sons of Kohath.
1 Chronicles 6:71	Unto the sons of Gershom were given out of the family of the half tribe of Manasseh, Golan in Bashan with her suburbs, and Ashtaroth with her suburbs:
1 Chronicles 6:72	And out of the tribe of Issachar; Kedesh with her suburbs, Daberath with her suburbs,
1 Chronicles 6:73	And Ramoth with her suburbs, and Anem with her suburbs:
1 Chronicles 6:74	And out of the tribe of Asher; Mashal with her suburbs, and Abdon with her suburbs,
1 Chronicles 6:75	And Hukok with her suburbs, and Rehob with her suburbs:
1 Chronicles 6:76	And out of the tribe of Naphtali; Kedesh in Galilee with her suburbs, and Hammon with her suburbs, and Kirjathaim with her suburbs.
1 Chronicles 6:77	Unto the rest of the children of Merari were given out of the tribe of Zebulun, Rimmon with her suburbs, Tabor with her suburbs:
1 Chronicles 6:78	And on the other side Jordan by Jericho, on the east side of Jordan, were given them out of the tribe of Reuben, Bezer in the wilderness with her suburbs, and Jahzah with her suburbs,
1 Chronicles 6:79	Kedemoth also with her suburbs, and Mephaath with her suburbs:
1 Chronicles 6:80	And out of the tribe of Gad; Ramoth in Gilead with her suburbs, and Mahanaim with her suburbs,
1 Chronicles 6:81	And Heshbon with her suburbs, and Jazer with her suburbs.
1 Chronicles 7:1	Now the sons of Issachar were, Tola, and Puah, Jashub, and Shimrom, four.
1 Chronicles 7:2	And the sons of Tola; Uzzi, and Rephaiah, and Jeriel, and Jahmai, and Jibsam, and Shemuel, heads of their father's house, to wit, of Tola: they were valiant men of might in their generations; whose number was in the days of David two and twenty thousand and six hundred.
1 Chronicles 7:3	And the sons of Uzzi; Izrahiah: and the sons of Izrahiah; Michael, and Obadiah, and Joel, Ishiah, five: all of them chief men.
1 Chronicles 7:4	And with them, by their generations, after the house of their fathers, were bands of soldiers for war, six and thirty thousand men: for they had many wives and sons.
1 Chronicles 7:5	And their brethren among all the families of Issachar were valiant men of might, reckoned in all by their genealogies fourscore and seven thousand.
1 Chronicles 7:6	The sons of Benjamin; Bela, and Becher, and Jediael, three.
1 Chronicles 7:7	And the sons of Bela; Ezbon, and Uzzi, and Uzziel, and Jerimoth, and Iri, five; heads of the house of their fathers, mighty men of valor; and were reckoned by their genealogies twenty and two thousand and thirty and four.
1 Chronicles 7:8	And the sons of Becher; Zemira, and Joash, and Eliezer, and Elioenai, and Omri, and Jerimoth, and Abiah, and Anathoth, and Alameth. All these are the sons of Becher.
1 Chronicles 7:9	And the number of them, after their genealogy by their generations, heads of the house of their fathers, mighty men of valor, was twenty thousand and two hundred.
1 Chronicles 7:10	The sons also of Jediael; Bilhan: and the sons of Bilhan; Jeush, and Benjamin, and Ehud, and Chenaanah, and Zethan, and Tharshish, and Ahishahar.
1 Chronicles 7:11	All these the sons of Jediael, by the heads of their fathers, mighty men of valor, were seventeen thousand and two hundred soldiers, fit to go out for war and battle.
1 Chronicles 7:12	Shuppim also, and Huppim, the children of Ir, and Hushim, the sons of Aher.
1 Chronicles 7:13	The sons of Naphtali; Jahziel, and Guni, and Jezer, and Shallum, the sons of Bilhah.
1 Chronicles 7:14	The sons of Manasseh; Ashriel, whom she bare: (but his concubine the Aramitess bare Machir the father of Gilead:
1 Chronicles 7:15	And Machir took to wife the sister of Huppim and Shuppim, whose sister's name was Maachah;) and the name of the second was Zelophehad: and Zelophehad had daughters.
