Nehemiah 7:31	The men of Michmas, an hundred and twenty and two.
Nehemiah 7:32	The men of Bethel and Ai, an hundred twenty and three.
Nehemiah 7:33	The men of the other Nebo, fifty and two.
Nehemiah 7:34	The children of the other Elam, a thousand two hundred fifty and four.
Nehemiah 7:35	The children of Harim, three hundred and twenty.
Nehemiah 7:36	The children of Jericho, three hundred forty and five.
Nehemiah 7:37	The children of Lod, Hadid, and Ono, seven hundred twenty and one.
Nehemiah 7:38	The children of Senaah, three thousand nine hundred and thirty.
Nehemiah 7:39	The priests: the children of Jedaiah, of the house of Jeshua, nine hundred seventy and three.
Nehemiah 7:40	The children of Immer, a thousand fifty and two.
Nehemiah 7:41	The children of Pashur, a thousand two hundred forty and seven.
Nehemiah 7:42	The children of Harim, a thousand and seventeen.
Nehemiah 7:43	The Levites: the children of Jeshua, of Kadmiel, and of the children of Hodevah, seventy and four.
Nehemiah 7:44	The singers: the children of Asaph, an hundred forty and eight.
Nehemiah 7:45	The porters: the children of Shallum, the children of Ater, the children of Talmon, the children of Akkub, the children of Hatita, the children of Shobai, an hundred thirty and eight.
Nehemiah 7:46	The Nethinims: the children of Ziha, the children of Hashupha, the children of Tabbaoth,
Nehemiah 7:47	The children of Keros, the children of Sia, the children of Padon,
Nehemiah 7:48	The children of Lebana, the children of Hagaba, the children of Shalmai,
Nehemiah 7:49	The children of Hanan, the children of Giddel, the children of Gahar,
Nehemiah 7:50	The children of Reaiah, the children of Rezin, the children of Nekoda,
Nehemiah 7:51	The children of Gazzam, the children of Uzza, the children of Phaseah,
Nehemiah 7:52	The children of Besai, the children of Meunim, the children of Nephishesim,
Nehemiah 7:53	The children of Bakbuk, the children of Hakupha, the children of Harhur,
Nehemiah 7:54	The children of Bazlith, the children of Mehida, the children of Harsha,
Nehemiah 7:55	The children of Barkos, the children of Sisera, the children of Tamah,
Nehemiah 7:56	The children of Neziah, the children of Hatipha.
Nehemiah 7:57	The children of Solomon's servants: the children of Sotai, the children of Sophereth, the children of Perida,
Nehemiah 7:58	The children of Jaala, the children of Darkon, the children of Giddel,
Nehemiah 7:59	The children of Shephatiah, the children of Hattil, the children of Pochereth of Zebaim, the children of Amon.
Nehemiah 7:60	All the Nethinims, and the children of Solomon's servants, were three hundred ninety and two.
Nehemiah 7:61	And these were they which went up also from Telmelah, Telharesha, Cherub, Addon, and Immer: but they could not shew their father's house, nor their seed, whether they were of Israel.
Nehemiah 7:62	The children of Delaiah, the children of Tobiah, the children of Nekoda, six hundred forty and two.
Nehemiah 7:63	And of the priests: the children of Habaiah, the children of Koz, the children of Barzillai, which took one of the daughters of Barzillai the Gileadite to wife, and was called after their name.
Nehemiah 7:64	These sought their register among those that were reckoned by genealogy, but it was not found: therefore were they, as polluted, put from the priesthood.
Nehemiah 7:65	And the Tirshatha said unto them, that they should not eat of the most holy things, till there stood up a priest with Urim and Thummim.
Nehemiah 7:66	The whole congregation together was forty and two thousand three hundred and threescore,
Nehemiah 7:67	Beside their manservants and their maidservants, of whom there were seven thousand three hundred thirty and seven: and they had two hundred forty and five singing men and singing women.
Nehemiah 7:68	Their horses, seven hundred thirty and six: their mules, two hundred forty and five:
Nehemiah 7:69	Their camels, four hundred thirty and five: six thousand seven hundred and twenty asses.
Nehemiah 7:70	And some of the chief of the fathers gave unto the work. The Tirshatha gave to the treasure a thousand drams of gold, fifty basons, five hundred and thirty priests' garments.
Nehemiah 7:71	And some of the chief of the fathers gave to the treasure of the work twenty thousand drams of gold, and two thousand and two hundred pound of silver.
Nehemiah 7:72	And that which the rest of the people gave was twenty thousand drams of gold, and two thousand pound of silver, and threescore and seven priests' garments.
Nehemiah 7:73	So the priests, and the Levites, and the porters, and the singers, and some of the people, and the Nethinims, and all Israel, dwelt in their cities; and when the seventh month came, the children of Israel were in their cities.
Nehemiah 8:1	And all the people gathered themselves together as one man into the street that was before the water gate; and they spake unto Ezra the scribe to bring the book of the law of Moses, which the LORD had commanded to Israel.
Nehemiah 8:2	And Ezra the priest brought the law before the congregation both of men and women, and all that could hear with understanding, upon the first day of the seventh month.
Nehemiah 8:3	And he read therein before the street that was before the water gate from the morning until midday, before the men and the women, and those that could understand; and the ears of all the people were attentive unto the book of the law.
Nehemiah 8:4	And Ezra the scribe stood upon a pulpit of wood, which they had made for the purpose; and beside him stood Mattithiah, and Shema, and Anaiah, and Urijah, and Hilkiah, and Maaseiah, on his right hand; and on his left hand, Pedaiah, and Mishael, and Malchiah, and Hashum, and Hashbadana, Zechariah, and Meshullam.
Nehemiah 8:5	And Ezra opened the book in the sight of all the people; (for he was above all the people;) and when he opened it, all the people stood up:
Nehemiah 8:6	And Ezra blessed the LORD, the great God. And all the people answered, Amen, Amen, with lifting up their hands: and they bowed their heads, and worshipped the LORD with their faces to the ground.
Nehemiah 8:7	Also Jeshua, and Bani, and Sherebiah, Jamin, Akkub, Shabbethai, Hodijah, Maaseiah, Kelita, Azariah, Jozabad, Hanan, Pelaiah, and the Levites, caused the people to understand the law: and the people stood in their place.
