Psalms 24:10	Who is this King of glory? The LORD of hosts, he is the King of glory. Selah.
Psalms 25:1	Unto thee, O LORD, do I lift up my soul.
Psalms 25:2	O my God, I trust in thee: let me not be ashamed, let not mine enemies triumph over me.
Psalms 25:3	Yea, let none that wait on thee be ashamed: let them be ashamed which transgress without cause.
Psalms 25:4	Shew me thy ways, O LORD; teach me thy paths.
Psalms 25:5	Lead me in thy truth, and teach me: for thou art the God of my salvation; on thee do I wait all the day.
Psalms 25:6	Remember, O LORD, thy tender mercies and thy lovingkindnesses; for they have been ever of old.
Psalms 25:7	Remember not the sins of my youth, nor my transgressions: according to thy mercy remember thou me for thy goodness' sake, O LORD.
Psalms 25:8	Good and upright is the LORD: therefore will he teach sinners in the way.
Psalms 25:9	The meek will he guide in judgment: and the meek will he teach his way.
Psalms 25:10	All the paths of the LORD are mercy and truth unto such as keep his covenant and his testimonies.
Psalms 25:11	For thy name's sake, O LORD, pardon mine iniquity; for it is great.
Psalms 25:12	What man is he that feareth the LORD? him shall he teach in the way that he shall choose.
Psalms 25:13	His soul shall dwell at ease; and his seed shall inherit the earth.
Psalms 25:14	The secret of the LORD is with them that fear him; and he will shew them his covenant.
Psalms 25:15	Mine eyes are ever toward the LORD; for he shall pluck my feet out of the net.
Psalms 25:16	Turn thee unto me, and have mercy upon me; for I am desolate and afflicted.
Psalms 25:17	The troubles of my heart are enlarged: O bring thou me out of my distresses.
Psalms 25:18	Look upon mine affliction and my pain; and forgive all my sins.
Psalms 25:19	Consider mine enemies; for they are many; and they hate me with cruel hatred.
Psalms 25:20	O keep my soul, and deliver me: let me not be ashamed; for I put my trust in thee.
Psalms 25:21	Let integrity and uprightness preserve me; for I wait on thee.
Psalms 25:22	Redeem Israel, O God, out of all his troubles.
Psalms 26:1	Judge me, O LORD; for I have walked in mine integrity: I have trusted also in the LORD; therefore I shall not slide.
Psalms 26:2	Examine me, O LORD, and prove me; try my reins and my heart.
Psalms 26:3	For thy lovingkindness is before mine eyes: and I have walked in thy truth.
Psalms 26:4	I have not sat with vain persons, neither will I go in with dissemblers.
Psalms 26:5	I have hated the congregation of evil doers; and will not sit with the wicked.
Psalms 26:6	I will wash mine hands in innocency: so will I compass thine altar, O LORD:
Psalms 26:7	That I may publish with the voice of thanksgiving, and tell of all thy wondrous works.
Psalms 26:8	LORD, I have loved the habitation of thy house, and the place where thine honour dwelleth.
Psalms 26:9	Gather not my soul with sinners, nor my life with bloody men:
Psalms 26:10	In whose hands is mischief, and their right hand is full of bribes.
Psalms 26:11	But as for me, I will walk in mine integrity: redeem me, and be merciful unto me.
Psalms 26:12	My foot standeth in an even place: in the congregations will I bless the LORD.
Psalms 27:1	The LORD is my light and my salvation; whom shall I fear? the LORD is the strength of my life; of whom shall I be afraid?
Psalms 27:2	When the wicked, even mine enemies and my foes, came upon me to eat up my flesh, they stumbled and fell.
Psalms 27:3	Though an host should encamp against me, my heart shall not fear: though war should rise against me, in this will I be confident.
Psalms 27:4	One thing have I desired of the LORD, that will I seek after; that I may dwell in the house of the LORD all the days of my life, to behold the beauty of the LORD, and to enquire in his temple.
Psalms 27:5	For in the time of trouble he shall hide me in his pavilion: in the secret of his tabernacle shall he hide me; he shall set me up upon a rock.
Psalms 27:6	And now shall mine head be lifted up above mine enemies round about me: therefore will I offer in his tabernacle sacrifices of joy; I will sing, yea, I will sing praises unto the LORD.
Psalms 27:7	Hear, O LORD, when I cry with my voice: have mercy also upon me, and answer me.
Psalms 27:8	When thou saidst, Seek ye my face; my heart said unto thee, Thy face, LORD, will I seek.
Psalms 27:9	Hide not thy face far from me; put not thy servant away in anger: thou hast been my help; leave me not, neither forsake me, O God of my salvation.
Psalms 27:10	When my father and my mother forsake me, then the LORD will take me up.
Psalms 27:11	Teach me thy way, O LORD, and lead me in a plain path, because of mine enemies.
Psalms 27:12	Deliver me not over unto the will of mine enemies: for false witnesses are risen up against me, and such as breathe out cruelty.
Psalms 27:13	I had fainted, unless I had believed to see the goodness of the LORD in the land of the living.
Psalms 27:14	Wait on the LORD: be of good courage, and he shall strengthen thine heart: wait, I say, on the LORD.
Psalms 28:1	Unto thee will I cry, O LORD my rock; be not silent to me: lest, if thou be silent to me, I become like them that go down into the pit.
