1 Kings 15:2	Three years reigned he in Jerusalem. and his mother's name was Maachah, the daughter of Abishalom.
1 Kings 15:3	And he walked in all the sins of his father, which he had done before him: and his heart was not perfect with the LORD his God, as the heart of David his father.
1 Kings 15:4	Nevertheless for David's sake did the LORD his God give him a lamp in Jerusalem, to set up his son after him, and to establish Jerusalem:
1 Kings 15:5	Because David did that which was right in the eyes of the LORD, and turned not aside from any thing that he commanded him all the days of his life, save only in the matter of Uriah the Hittite.
1 Kings 15:6	And there was war between Rehoboam and Jeroboam all the days of his life.
1 Kings 15:7	Now the rest of the acts of Abijam, and all that he did, are they not written in the book of the chronicles of the kings of Judah? And there was war between Abijam and Jeroboam.
1 Kings 15:8	And Abijam slept with his fathers; and they buried him in the city of David: and Asa his son reigned in his stead.
1 Kings 15:9	And in the twentieth year of Jeroboam king of Israel reigned Asa over Judah.
1 Kings 15:10	And forty and one years reigned he in Jerusalem. And his mother's name was Maachah, the daughter of Abishalom.
1 Kings 15:11	And Asa did that which was right in the eyes of the LORD, as did David his father.
1 Kings 15:12	And he took away the sodomites out of the land, and removed all the idols that his fathers had made.
1 Kings 15:13	And also Maachah his mother, even her he removed from being queen, because she had made an idol in a grove; and Asa destroyed her idol, and burnt it by the brook Kidron.
1 Kings 15:14	But the high places were not removed: nevertheless Asa's heart was perfect with the LORD all his days.
1 Kings 15:15	And he brought in the things which his father had dedicated, and the things which himself had dedicated, into the house of the LORD, silver, and gold, and vessels.
1 Kings 15:16	And there was war between Asa and Baasha king of Israel all their days.
1 Kings 15:17	And Baasha king of Israel went up against Judah, and built Ramah, that he might not suffer any to go out or come in to Asa king of Judah.
1 Kings 15:18	Then Asa took all the silver and the gold that were left in the treasures of the house of the LORD, and the treasures of the king's house, and delivered them into the hand of his servants: and king Asa sent them to Benhadad, the son of Tabrimon, the son of Hezion, king of Syria, that dwelt at Damascus, saying,
1 Kings 15:19	There is a league between me and thee, and between my father and thy father: behold, I have sent unto thee a present of silver and gold; come and break thy league with Baasha king of Israel, that he may depart from me.
1 Kings 15:20	So Benhadad hearkened unto king Asa, and sent the captains of the hosts which he had against the cities of Israel, and smote Ijon, and Dan, and Abelbethmaachah, and all Cinneroth, with all the land of Naphtali.
1 Kings 15:21	And it came to pass, when Baasha heard thereof, that he left off building of Ramah, and dwelt in Tirzah.
