Psalms 21:10	Their fruit shalt thou destroy from the earth, and their seed from among the children of men.
Psalms 21:11	For they intended evil against thee: they imagined a mischievous device, which they are not able to perform.
Psalms 21:12	Therefore shalt thou make them turn their back, when thou shalt make ready thine arrows upon thy strings against the face of them.
Psalms 21:13	Be thou exalted, LORD, in thine own strength: so will we sing and praise thy power.
Psalms 22:1	My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?
Psalms 22:2	O my God, I cry in the day time, but thou hearest not; and in the night season, and am not silent.
Psalms 22:3	But thou art holy, O thou that inhabitest the praises of Israel.
Psalms 22:4	Our fathers trusted in thee: they trusted, and thou didst deliver them.
Psalms 22:5	They cried unto thee, and were delivered: they trusted in thee, and were not confounded.
Psalms 22:6	But I am a worm, and no man; a reproach of men, and despised of the people.
Psalms 22:7	All they that see me laugh me to scorn: they shoot out the lip, they shake the head, saying,
Psalms 22:8	He trusted on the LORD that he would deliver him: let him deliver him, seeing he delighted in him.
Psalms 22:9	But thou art he that took me out of the womb: thou didst make me hope when I was upon my mother's breasts.
Psalms 22:10	I was cast upon thee from the womb: thou art my God from my mother's belly.
Psalms 22:11	Be not far from me; for trouble is near; for there is none to help.
Psalms 22:12	Many bulls have compassed me: strong bulls of Bashan have beset me round.
Psalms 22:13	They gaped upon me with their mouths, as a ravening and a roaring lion.
Psalms 22:14	I am poured out like water, and all my bones are out of joint: my heart is like wax; it is melted in the midst of my bowels.
Psalms 22:15	My strength is dried up like a potsherd; and my tongue cleaveth to my jaws; and thou hast brought me into the dust of death.
Psalms 22:16	For dogs have compassed me: the assembly of the wicked have inclosed me: they pierced my hands and my feet.
Psalms 22:17	I may tell all my bones: they look and stare upon me.
Psalms 22:18	They part my garments among them, and cast lots upon my vesture.
Psalms 22:19	But be not thou far from me, O LORD: O my strength, haste thee to help me.
Psalms 22:20	Deliver my soul from the sword; my darling from the power of the dog.
Psalms 22:21	Save me from the lion's mouth: for thou hast heard me from the horns of the unicorns.
Psalms 22:22	I will declare thy name unto my brethren: in the midst of the congregation will I praise thee.
Psalms 22:23	Ye that fear the LORD, praise him; all ye the seed of Jacob, glorify him; and fear him, all ye the seed of Israel.
Psalms 22:24	For he hath not despised nor abhorred the affliction of the afflicted; neither hath he hid his face from him; but when he cried unto him, he heard.
Psalms 22:25	My praise shall be of thee in the great congregation: I will pay my vows before them that fear him.
Psalms 22:26	The meek shall eat and be satisfied: they shall praise the LORD that seek him: your heart shall live for ever.
Psalms 22:27	All the ends of the world shall remember and turn unto the LORD: and all the kindreds of the nations shall worship before thee.
Psalms 22:28	For the kingdom is the LORD's: and he is the governor among the nations.
Psalms 22:29	All they that be fat upon earth shall eat and worship: all they that go down to the dust shall bow before him: and none can keep alive his own soul.
Psalms 22:30	A seed shall serve him; it shall be accounted to the Lord for a generation.
Psalms 22:31	They shall come, and shall declare his righteousness unto a people that shall be born, that he hath done this.
Psalms 23:1	The LORD is my shepherd; I shall not want.
Psalms 23:2	He maketh me to lie down in green pastures: he leadeth me beside the still waters.
Psalms 23:3	He restoreth my soul: he leadeth me in the paths of righteousness for his name's sake.
Psalms 23:4	Yea, though I walk through the valley of the shadow of death, I will fear no evil: for thou art with me; thy rod and thy staff they comfort me.
Psalms 23:5	Thou preparest a table before me in the presence of mine enemies: thou anointest my head with oil; my cup runneth over.
Psalms 23:6	Surely goodness and mercy shall follow me all the days of my life: and I will dwell in the house of the LORD for ever.
Psalms 24:1	The earth is the LORD's, and the fulness thereof; the world, and they that dwell therein.
Psalms 24:2	For he hath founded it upon the seas, and established it upon the floods.
Psalms 24:3	Who shall ascend into the hill of the LORD? or who shall stand in his holy place?
Psalms 24:4	He that hath clean hands, and a pure heart; who hath not lifted up his soul unto vanity, nor sworn deceitfully.
Psalms 24:5	He shall receive the blessing from the LORD, and righteousness from the God of his salvation.
Psalms 24:6	This is the generation of them that seek him, that seek thy face, O Jacob. Selah.
Psalms 24:7	Lift up your heads, O ye gates; and be ye lift up, ye everlasting doors; and the King of glory shall come in.
Psalms 24:8	Who is this King of glory? The LORD strong and mighty, the LORD mighty in battle.
Psalms 24:9	Lift up your heads, O ye gates; even lift them up, ye everlasting doors; and the King of glory shall come in.
