Numbers 7:51	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Numbers 7:52	One kid of the goats for a sin offering:
Numbers 7:53	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Elishama the son of Ammihud.
Numbers 7:54	On the eighth day offered Gamaliel the son of Pedahzur, prince of the children of Manasseh:
Numbers 7:55	His offering was one silver charger of the weight of an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
Numbers 7:56	One golden spoon of ten shekels, full of incense:
Numbers 7:57	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Numbers 7:58	One kid of the goats for a sin offering:
Numbers 7:59	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Gamaliel the son of Pedahzur.
Numbers 7:60	On the ninth day Abidan the son of Gideoni, prince of the children of Benjamin, offered:
Numbers 7:61	His offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
Numbers 7:62	One golden spoon of ten shekels, full of incense:
Numbers 7:63	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Numbers 7:64	One kid of the goats for a sin offering:
Numbers 7:65	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Abidan the son of Gideoni.
Numbers 7:66	On the tenth day Ahiezer the son of Ammishaddai, prince of the children of Dan, offered:
Numbers 7:67	His offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
Numbers 7:68	One golden spoon of ten shekels, full of incense:
Numbers 7:69	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Numbers 7:70	One kid of the goats for a sin offering:
Numbers 7:71	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Ahiezer the son of Ammishaddai.
Numbers 7:72	On the eleventh day Pagiel the son of Ocran, prince of the children of Asher, offered:
Numbers 7:73	His offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
Numbers 7:74	One golden spoon of ten shekels, full of incense:
Numbers 7:75	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Numbers 7:76	One kid of the goats for a sin offering:
Numbers 7:77	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Pagiel the son of Ocran.
Numbers 7:78	On the twelfth day Ahira the son of Enan, prince of the children of Naphtali, offered:
Numbers 7:79	His offering was one silver charger, the weight whereof was an hundred and thirty shekels, one silver bowl of seventy shekels, after the shekel of the sanctuary; both of them full of fine flour mingled with oil for a meat offering:
Numbers 7:80	One golden spoon of ten shekels, full of incense:
Numbers 7:81	One young bullock, one ram, one lamb of the first year, for a burnt offering:
Numbers 7:82	One kid of the goats for a sin offering:
Numbers 7:83	And for a sacrifice of peace offerings, two oxen, five rams, five he goats, five lambs of the first year: this was the offering of Ahira the son of Enan.
Numbers 7:84	This was the dedication of the altar, in the day when it was anointed, by the princes of Israel: twelve chargers of silver, twelve silver bowls, twelve spoons of gold:
Numbers 7:85	Each charger of silver weighing an hundred and thirty shekels, each bowl seventy: all the silver vessels weighed two thousand and four hundred shekels, after the shekel of the sanctuary:
Numbers 7:86	The golden spoons were twelve, full of incense, weighing ten shekels apiece, after the shekel of the sanctuary: all the gold of the spoons was an hundred and twenty shekels.
Numbers 7:87	All the oxen for the burnt offering were twelve bullocks, the rams twelve, the lambs of the first year twelve, with their meat offering: and the kids of the goats for sin offering twelve.
Numbers 7:88	And all the oxen for the sacrifice of the peace offerings were twenty and four bullocks, the rams sixty, the he goats sixty, the lambs of the first year sixty. This was the dedication of the altar, after that it was anointed.
Numbers 7:89	And when Moses was gone into the tabernacle of the congregation to speak with him, then he heard the voice of one speaking unto him from off the mercy seat that was upon the ark of testimony, from between the two cherubim: and he spake unto him.
Numbers 8:1	And the LORD spake unto Moses, saying,
Numbers 8:2	Speak unto Aaron and say unto him, When thou lightest the lamps, the seven lamps shall give light over against the candlestick.
Numbers 8:3	And Aaron did so; he lighted the lamps thereof over against the candlestick, as the LORD commanded Moses.
Numbers 8:4	And this work of the candlestick was of beaten gold, unto the shaft thereof, unto the flowers thereof, was beaten work: according unto the pattern which the LORD had showed Moses, so he made the candlestick.
Numbers 8:5	And the LORD spake unto Moses, saying,
Numbers 8:6	Take the Levites from among the children of Israel, and cleanse them.
Numbers 8:7	And thus shalt thou do unto them, to cleanse them: Sprinkle water of purifying upon them, and let them shave all their flesh, and let them wash their clothes, and so make themselves clean.
Numbers 8:8	Then let them take a young bullock with his meat offering, even fine flour mingled with oil, and another young bullock shalt thou take for a sin offering.
Numbers 8:9	And thou shalt bring the Levites before the tabernacle of the congregation: and thou shalt gather the whole assembly of the children of Israel together:
Numbers 8:10	And thou shalt bring the Levites before the LORD: and the children of Israel shall put their hands upon the Levites:
Numbers 8:11	And Aaron shall offer the Levites before the LORD for an offering of the children of Israel, that they may execute the service of the LORD.
