tech query P R F MAP MRR
tf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.13448275862069 0.2
tf-Documents henryvadvantage 0.04 1 0.0769230769230769 0.0442307692307692 0.0384615384615385
tf-Documents henryviblood 0.0178571428571429 0.5 0.0344827586206896 0.0833333333333333 0.0833333333333333
tf-Documents henryvipeace 0.04 1 0.0769230769230769 0.642857142857143 1
tf-Documents ladymac 0.037037037037037 1 0.0714285714285714 0.158823529411765 0.2
tf-Documents name 0.0363636363636364 1 0.0701754385964912 0.538461538461538 1
tf-Documents richblood 0.0363636363636364 1 0.0701754385964912 0.297619047619048 0.5
tf-Documents tempestcreation 0.0363636363636364 1 0.0701754385964912 0.0805555555555555 0.111111111111111
tfidf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.13125 0.2
tfidf-Documents henryvadvantage 0.04 1 0.0769230769230769 0.0480549199084668 0.0434782608695652
tfidf-Documents henryviblood 0.0178571428571429 0.5 0.0344827586206896 0.1 0.1
tfidf-Documents henryvipeace 0.04 1 0.0769230769230769 0.833333333333333 1
tfidf-Documents ladymac 0.037037037037037 1 0.0714285714285714 0.214285714285714 0.333333333333333
tfidf-Documents name 0.0363636363636364 1 0.0701754385964912 0.545454545454545 1
tfidf-Documents richblood 0.0363636363636364 1 0.0701754385964912 0.305555555555556 0.5
tfidf-Documents tempestcreation 0.0363636363636364 1 0.0701754385964912 0.111111111111111 0.166666666666667
tf-Documents_raked Footnote 0.0454545454545455 0.5 0.0833333333333333 0.0625 0.0625
tf-Documents_raked henryvadvantage 0 0 0 0 0
tf-Documents_raked henryviblood 0 0 0 0 0
tf-Documents_raked henryvipeace 0 0 0 0 0
tf-Documents_raked ladymac 0.166666666666667 0.5 0.25 0.166666666666667 0.166666666666667
tf-Documents_raked name 0.111111111111111 0.5 0.181818181818182 0.25 0.25
tf-Documents_raked richblood 0 0 0 0 0
tf-Documents_raked tempestcreation 0 0 0 0 0
tfidf-Documents_raked Footnote 0.0454545454545455 0.5 0.0833333333333333 0.125 0.125
tfidf-Documents_raked henryvadvantage 0 0 0 0 0
tfidf-Documents_raked henryviblood 0 0 0 0 0
tfidf-Documents_raked henryvipeace 0 0 0 0 0
tfidf-Documents_raked ladymac 0.166666666666667 0.5 0.25 0.166666666666667 0.166666666666667
tfidf-Documents_raked name 0.111111111111111 0.5 0.181818181818182 0.25 0.25
tfidf-Documents_raked richblood 0 0 0 0 0
tfidf-Documents_raked tempestcreation 0 0 0 0 0
