tech query P R F MAP MRR
tf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.13448275862069 0.2
tf-Documents henryvadvantage 0.04 1 0.0769230769230769 0.0442307692307692 0.0384615384615385
tf-Documents henryviblood 0.0178571428571429 0.5 0.0344827586206896 0.0833333333333333 0.0833333333333333
tf-Documents henryvipeace 0.04 1 0.0769230769230769 0.642857142857143 1
tf-Documents ladymac 0.037037037037037 1 0.0714285714285714 0.158823529411765 0.2
tf-Documents name 0.0363636363636364 1 0.0701754385964912 0.538461538461538 1
tf-Documents richblood 0.0363636363636364 1 0.0701754385964912 0.297619047619048 0.5
tf-Documents tempestcreation 0.0363636363636364 1 0.0701754385964912 0.0805555555555555 0.111111111111111
tfidf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.13125 0.2
tfidf-Documents henryvadvantage 0.04 1 0.0769230769230769 0.0480549199084668 0.0434782608695652
tfidf-Documents henryviblood 0.0178571428571429 0.5 0.0344827586206896 0.1 0.1
tfidf-Documents henryvipeace 0.04 1 0.0769230769230769 0.833333333333333 1
tfidf-Documents ladymac 0.037037037037037 1 0.0714285714285714 0.214285714285714 0.333333333333333
tfidf-Documents name 0.0363636363636364 1 0.0701754385964912 0.545454545454545 1
tfidf-Documents richblood 0.0363636363636364 1 0.0701754385964912 0.305555555555556 0.5
tfidf-Documents tempestcreation 0.0363636363636364 1 0.0701754385964912 0.111111111111111 0.166666666666667
tf-Documents_raked Footnote 0.0454545454545455 0.5 0.0833333333333333 0.0625 0.0625
tf-Documents_raked henryvadvantage 0 0 0 0 0
tf-Documents_raked henryviblood 0 0 0 0 0
tf-Documents_raked henryvipeace 0 0 0 0 0
tf-Documents_raked ladymac 0.166666666666667 0.5 0.25 0.166666666666667 0.166666666666667
tf-Documents_raked name 0.111111111111111 0.5 0.181818181818182 0.25 0.25
tf-Documents_raked richblood 0 0 0 0 0
tf-Documents_raked tempestcreation 0 0 0 0 0
tfidf-Documents_raked Footnote 0.0454545454545455 0.5 0.0833333333333333 0.125 0.125
tfidf-Documents_raked henryvadvantage 0 0 0 0 0
tfidf-Documents_raked henryviblood 0 0 0 0 0
tfidf-Documents_raked henryvipeace 0 0 0 0 0
tfidf-Documents_raked ladymac 0.166666666666667 0.5 0.25 0.166666666666667 0.166666666666667
tfidf-Documents_raked name 0.111111111111111 0.5 0.181818181818182 0.25 0.25
tfidf-Documents_raked richblood 0 0 0 0 0
tfidf-Documents_raked tempestcreation 0 0 0 0 0
tf-Passages Footnote 0 0 0 0 0
tf-Passages henryviblood 0.000590144585423429 0.666666666666667 0.00117924528301887 0.0444995278564684 0.0833333333333333
tf-Passages henryvipeace 0.00112107623318386 0.333333333333333 0.00223463687150838 0.25 0.25
tf-Passages ladymac 0.000389408099688474 0.5 0.000778210116731517 0.000418060200668896 0.000418060200668896
tf-Passages name 0.00107874865156419 0.666666666666667 0.00215401184706516 0.0328042328042328 0.0285714285714286
tf-Passages richblood 0.000693962526023595 0.666666666666667 0.00138648180242634 0.500638977635783 1
tf-Passages tempestcreation 0.000807754442649435 0.666666666666667 0.00161355385235982 0.121794871794872 0.166666666666667
tfidf-Passages Footnote 0 0 0 0 0
tfidf-Passages henryviblood 0.000590144585423429 0.666666666666667 0.00117924528301887 0.505813953488372 1
tfidf-Passages henryvipeace 0.00112107623318386 0.333333333333333 0.00223463687150838 1 1
tfidf-Passages ladymac 0.000389408099688474 0.5 0.000778210116731517 0.000641848523748395 0.000641848523748395
tfidf-Passages name 0.00107874865156419 0.666666666666667 0.00215401184706516 0.3125 0.5
tfidf-Passages richblood 0.000693962526023595 0.666666666666667 0.00138648180242634 0.500797448165869 1
tfidf-Passages tempestcreation 0.000807754442649435 0.666666666666667 0.00161355385235982 0.533333333333333 1
tf-Passages_raked Footnote 0 0 0 0 0
tf-Passages_raked henryviblood 0.000724112961622013 0.666666666666667 0.00144665461121157 0.256410256410256 0.5
tf-Passages_raked henryvipeace 0 0 0 0 0
tf-Passages_raked ladymac 0 0 0 0 0
tf-Passages_raked name 0 0 0 0 0
tf-Passages_raked richblood 0.0037243947858473 0.666666666666667 0.00740740740740741 0.039945652173913 0.0625
tf-Passages_raked tempestcreation 0.003125 0.666666666666667 0.00622083981337481 0.014526997462151 0.0256410256410256
tfidf-Passages_raked Footnote 0 0 0 0 0
tfidf-Passages_raked henryviblood 0.000724112961622013 0.666666666666667 0.00144665461121157 0.7 1
tfidf-Passages_raked henryvipeace 0 0 0 0 0
tfidf-Passages_raked ladymac 0 0 0 0 0
tfidf-Passages_raked name 0 0 0 0 0
tfidf-Passages_raked richblood 0.0037243947858473 0.666666666666667 0.00740740740740741 0.514492753623188 1
tfidf-Passages_raked tempestcreation 0.003125 0.666666666666667 0.00622083981337481 0.126642036124795 0.25
