tech query P R F MAP MRR
tf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.129411764705882 0.2
tf-Documents henryvadvantage 0.0392156862745098 1 0.0754716981132075 0.0414673046251994 0.0303030303030303
tf-Documents henryviblood 0.0392156862745098 1 0.0754716981132075 0.2 0.2
tf-Documents henryvipeace 0.0416666666666667 1 0.08 0.316666666666667 0.5
tf-Documents ladymac 0.0363636363636364 1 0.0701754385964912 0.238095238095238 0.333333333333333
tf-Documents name 0.0357142857142857 1 0.0689655172413793 0.214285714285714 0.333333333333333
tf-Documents richblood 0.0357142857142857 1 0.0689655172413793 0.308823529411765 0.5
tf-Documents tempestcreation 0.0357142857142857 1 0.0689655172413793 0.276315789473684 0.5
tfidf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.126315789473684 0.2
tfidf-Documents henryvadvantage 0.0392156862745098 1 0.0754716981132075 0.0434027777777778 0.03125
tfidf-Documents henryviblood 0.0392156862745098 1 0.0754716981132075 0.225 0.25
tfidf-Documents henryvipeace 0.0416666666666667 1 0.08 0.326923076923077 0.5
tfidf-Documents ladymac 0.0363636363636364 1 0.0701754385964912 0.212121212121212 0.333333333333333
tfidf-Documents name 0.0357142857142857 1 0.0689655172413793 0.233333333333333 0.333333333333333
tfidf-Documents richblood 0.0357142857142857 1 0.0689655172413793 0.340909090909091 0.5
tfidf-Documents tempestcreation 0.0357142857142857 1 0.0689655172413793 0.276315789473684 0.5
tf-Passages Footnote 0.000281531531531532 1 0.00056290458767239 0.000671140939597315 0.000671140939597315
tf-Passages henryvadvantage 0.00190114068441065 1 0.00379506641366224 0.0020114565569111 0.00137741046831956
tf-Passages henryviblood 0.00148920327624721 1 0.00297397769516729 0.169540229885057 0.333333333333333
tf-Passages henryvipeace 0.00261437908496732 1 0.00521512385919166 0.0165509008031257 0.0294117647058824
tf-Passages ladymac 0.000721500721500722 1 0.00144196106705119 0.250384911470362 0.5
tf-Passages name 0.000999500249875062 1 0.00199700449326011 0.0147311827956989 0.0133333333333333
tf-Passages richblood 0.000673174015483002 1 0.00134544231416078 0.500630914826498 1
tf-Passages tempestcreation 0.000723065798987708 1 0.00144508670520231 0.135714285714286 0.2
tfidf-Passages Footnote 0.000281531531531532 1 0.00056290458767239 0.00066577896138482 0.00066577896138482
tfidf-Passages henryvadvantage 0.00190114068441065 1 0.00379506641366224 0.00202639751552795 0.0015527950310559
tfidf-Passages henryviblood 0.00148920327624721 1 0.00297397769516729 0.502583979328165 1
tfidf-Passages henryvipeace 0.00261437908496732 1 0.00521512385919166 0.251769911504425 0.5
tfidf-Passages ladymac 0.000721500721500722 1 0.00144196106705119 0.500582750582751 1
tfidf-Passages name 0.000999500249875062 1 0.00199700449326011 0.0410216718266254 0.0526315789473684
tfidf-Passages richblood 0.000673174015483002 1 0.00134544231416078 0.500807754442649 1
tfidf-Passages tempestcreation 0.000723065798987708 1 0.00144508670520231 0.283333333333333 0.5
