tech query P R F MAP MRR
tf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.117816091954023 0.166666666666667
tf-Documents henryvadvantage 0.04 1 0.0769230769230769 0.0441595441595442 0.037037037037037
tf-Documents henryviblood 0.04 1 0.0769230769230769 0.211111111111111 0.2
tf-Documents henryvipeace 0.04 1 0.0769230769230769 0.642857142857143 1
tf-Documents ladymac 0.037037037037037 1 0.0714285714285714 0.1625 0.2
tf-Documents name 0.0363636363636364 1 0.0701754385964912 0.55 1
tf-Documents richblood 0.0363636363636364 1 0.0701754385964912 0.308823529411765 0.5
tf-Documents tempestcreation 0.0363636363636364 1 0.0701754385964912 0.129411764705882 0.2
tfidf-Documents Footnote 0.0357142857142857 1 0.0689655172413793 0.132258064516129 0.2
tfidf-Documents henryvadvantage 0.04 1 0.0769230769230769 0.0495169082125604 0.0434782608695652
tfidf-Documents henryviblood 0.04 1 0.0769230769230769 0.208333333333333 0.166666666666667
tfidf-Documents henryvipeace 0.04 1 0.0769230769230769 0.75 1
tfidf-Documents ladymac 0.037037037037037 1 0.0714285714285714 0.216666666666667 0.333333333333333
tfidf-Documents name 0.0363636363636364 1 0.0701754385964912 0.558823529411765 1
tfidf-Documents richblood 0.0363636363636364 1 0.0701754385964912 0.333333333333333 0.5
tfidf-Documents tempestcreation 0.0363636363636364 1 0.0701754385964912 0.129411764705882 0.2
tf-Documents_raked Footnote 0.0454545454545455 0.5 0.0833333333333333 0.0625 0.0625
tf-Documents_raked henryvadvantage 0 0 0 0 0
tf-Documents_raked henryviblood 0 0 0 0 0
tf-Documents_raked henryvipeace 0 0 0 0 0
tf-Documents_raked ladymac 0.166666666666667 0.5 0.25 0.166666666666667 0.166666666666667
tf-Documents_raked name 0.111111111111111 0.5 0.181818181818182 0.25 0.25
tf-Documents_raked richblood 0 0 0 0 0
tf-Documents_raked tempestcreation 0 0 0 0 0
tfidf-Documents_raked Footnote 0.0454545454545455 0.5 0.0833333333333333 0.125 0.125
tfidf-Documents_raked henryvadvantage 0 0 0 0 0
tfidf-Documents_raked henryviblood 0 0 0 0 0
tfidf-Documents_raked henryvipeace 0 0 0 0 0
tfidf-Documents_raked ladymac 0.166666666666667 0.5 0.25 0.166666666666667 0.166666666666667
tfidf-Documents_raked name 0.111111111111111 0.5 0.181818181818182 0.2 0.2
tfidf-Documents_raked richblood 0 0 0 0 0
tfidf-Documents_raked tempestcreation 0 0 0 0 0
tf-Passages Footnote 0.000297176820208024 1 0.0005941770647653 0.00272479564032698 0.00272479564032698
tf-Passages henryvadvantage 0.00181159420289855 1 0.00361663652802893 0.0159813925570228 0.0294117647058824
tf-Passages henryviblood 0.00144613159797542 1 0.00288808664259928 0.50507614213198 1
tf-Passages henryvipeace 0.00224215246636771 1 0.00447427293064877 0.172619047619048 0.25
tf-Passages ladymac 0.000778816199376947 1 0.00155642023346303 0.500421585160202 1
tf-Passages name 0.00107874865156419 1 0.0021551724137931 0.0298245614035088 0.0263157894736842
tf-Passages richblood 0.000693962526023595 1 0.0013869625520111 0.500653167864141 1
tf-Passages tempestcreation 0.000807754442649435 1 0.00161420500403551 0.202380952380952 0.333333333333333
tfidf-Passages Footnote 0.000297176820208024 1 0.0005941770647653 0.00917431192660551 0.00917431192660551
tfidf-Passages henryvadvantage 0.00181159420289855 1 0.00361663652802893 0.126160092807425 0.25
tfidf-Passages henryviblood 0.00144613159797542 1 0.00288808664259928 0.506944444444444 1
tfidf-Passages henryvipeace 0.00224215246636771 1 0.00447427293064877 0.590909090909091 1
tfidf-Passages ladymac 0.000778816199376947 1 0.00155642023346303 0.50065445026178 1
tfidf-Passages name 0.00107874865156419 1 0.0021551724137931 0.3125 0.5
tfidf-Passages richblood 0.000693962526023595 1 0.0013869625520111 0.500812347684809 1
tfidf-Passages tempestcreation 0.000807754442649435 1 0.00161420500403551 0.53125 1
tf-Passages_raked Footnote 0.000958772770853308 1 0.00191570881226054 0.00980392156862745 0.00980392156862745
tf-Passages_raked henryvadvantage 0 0 0 0 0
tf-Passages_raked henryviblood 0.00485436893203883 1 0.00966183574879227 0.666666666666667 1
tf-Passages_raked henryvipeace 0 0 0 0 0
tf-Passages_raked ladymac 0.00198019801980198 0.5 0.00394477317554241 0.142857142857143 0.142857142857143
tf-Passages_raked name 0 0 0 0 0
tf-Passages_raked richblood 0.0037243947858473 1 0.00742115027829313 0.0446428571428571 0.0476190476190476
tf-Passages_raked tempestcreation 0.003125 1 0.00623052959501558 0.0243801652892562 0.0454545454545455
tfidf-Passages_raked Footnote 0.000958772770853308 1 0.00191570881226054 0.00813008130081301 0.00813008130081301
tfidf-Passages_raked henryvadvantage 0 0 0 0 0
tfidf-Passages_raked henryviblood 0.00485436893203883 1 0.00966183574879227 0.75 1
tfidf-Passages_raked henryvipeace 0 0 0 0 0
tfidf-Passages_raked ladymac 0.00198019801980198 0.5 0.00394477317554241 0.5 0.5
tfidf-Passages_raked name 0 0 0 0 0
tfidf-Passages_raked richblood 0.0037243947858473 1 0.00742115027829313 0.517543859649123 1
tfidf-Passages_raked tempestcreation 0.003125 1 0.00623052959501558 0.168308702791461 0.333333333333333
